layer,neuron,label,flips,precision,recall,F1
18,53,religion,1,0.5,0.0019342359767891683,0.0038535645472061652
18,53,music,1,0.5,0.000588235294117647,0.0011750881316098705
18,205,religion,1,0.5,0.0019342359767891683,0.0038535645472061652
18,205,animals,1,0.5,0.00044306601683650863,0.0008853474988933155
18,269,religion,1,0.5,0.0019342359767891683,0.0038535645472061652
18,269,sports,1,0.5,0.0009267840593141798,0.0018501387604070304
18,423,religion,1,0.5,0.0019342359767891683,0.0038535645472061652
18,423,film_tv,1,0.5,0.0005966587112171838,0.001191895113230036
18,426,religion,1,1.0,0.0019342359767891683,0.003861003861003861
18,439,religion,1,1.0,0.0019342359767891683,0.003861003861003861
18,515,religion,1,1.0,0.0019342359767891683,0.003861003861003861
18,534,religion,1,1.0,0.0019342359767891683,0.003861003861003861
18,544,religion,1,1.0,0.0019342359767891683,0.003861003861003861
18,705,religion,1,0.3333333333333333,0.0019342359767891683,0.0038461538461538464
18,705,music,1,0.3333333333333333,0.000588235294117647,0.0011743981209630062
18,705,sports,1,0.3333333333333333,0.0009267840593141798,0.0018484288354898338
18,710,religion,1,0.3333333333333333,0.0019342359767891683,0.0038461538461538464
18,710,law,1,0.3333333333333333,0.0005920663114268798,0.001182033096926714
18,710,sports,1,0.3333333333333333,0.0009267840593141798,0.0018484288354898338
18,723,religion,1,1.0,0.0019342359767891683,0.003861003861003861
18,729,religion,1,1.0,0.0019342359767891683,0.003861003861003861
18,746,religion,1,1.0,0.0019342359767891683,0.003861003861003861
18,809,religion,1,0.5,0.0019342359767891683,0.0038535645472061652
18,809,sports,1,0.5,0.0009267840593141798,0.0018501387604070304
18,815,religion,1,0.5,0.0019342359767891683,0.0038535645472061652
18,815,film_tv,1,0.5,0.0005966587112171838,0.001191895113230036
18,25,business_companies,1,1.0,0.003215434083601286,0.00641025641025641
18,885,business_companies,1,1.0,0.003215434083601286,0.00641025641025641
18,50,technology,1,1.0,0.001567398119122257,0.003129890453834116
18,365,technology,1,0.3333333333333333,0.001567398119122257,0.0031201248049921994
18,365,law,1,0.3333333333333333,0.0005920663114268798,0.001182033096926714
18,365,sports,1,0.3333333333333333,0.0009267840593141798,0.0018484288354898338
18,740,technology,1,0.25,0.001567398119122257,0.003115264797507788
18,740,music,1,0.25,0.000588235294117647,0.0011737089201877932
18,740,education,1,0.25,0.007936507936507936,0.015384615384615385
18,740,film_tv,1,0.25,0.0005966587112171838,0.0011904761904761906
18,45,film_tv,1,0.5,0.0005966587112171838,0.001191895113230036
18,45,music,1,0.5,0.000588235294117647,0.0011750881316098705
18,105,film_tv,1,0.5,0.0005966587112171838,0.001191895113230036
18,105,sports,1,0.5,0.0009267840593141798,0.0018501387604070304
18,121,film_tv,1,0.5,0.0005966587112171838,0.001191895113230036
18,121,animals,1,0.5,0.00044306601683650863,0.0008853474988933155
18,168,film_tv,1,1.0,0.0005966587112171838,0.0011926058437686346
18,188,film_tv,1,0.5,0.0005966587112171838,0.001191895113230036
18,188,animals,1,0.5,0.00044306601683650863,0.0008853474988933155
18,383,film_tv,1,1.0,0.0005966587112171838,0.0011926058437686346
18,438,film_tv,1,0.5,0.0005966587112171838,0.001191895113230036
18,438,music,1,0.5,0.000588235294117647,0.0011750881316098705
18,542,film_tv,1,1.0,0.0005966587112171838,0.0011926058437686346
18,559,film_tv,1,0.5,0.0005966587112171838,0.001191895113230036
18,559,law,1,0.5,0.0005920663114268798,0.0011827321111768185
18,565,film_tv,1,0.25,0.0005966587112171838,0.0011904761904761906
18,565,music,1,0.25,0.000588235294117647,0.0011737089201877932
18,565,politics,1,0.25,0.0018115942028985507,0.003597122302158273
18,565,sports,1,0.25,0.0009267840593141798,0.0018467220683287165
18,595,film_tv,1,1.0,0.0005966587112171838,0.0011926058437686346
18,686,film_tv,1,0.3333333333333333,0.0005966587112171838,0.0011911852293031567
