neuron_id,layer,spec_score,top_category,top_cat_rate,activity_rate,top_cat_lift
2629,19,0.3726159399249567,science,0.6666666666666666,0.074,9.00900900900901
3642,19,0.5953501028826926,science,0.4166666666666667,0.031,13.440860215053764
543,19,0.6147834125029529,sports,0.3333333333333333,0.022,15.151515151515152
417,19,0.3196951836312373,sports,0.6190476190476191,0.058,10.673234811165845
3776,19,0.39098449315929673,science,0.5,0.088,5.6818181818181825
3263,19,0.4227593837320186,science,0.4166666666666667,0.06,6.944444444444445
125,19,0.5232796138331788,science,0.3333333333333333,0.035,9.523809523809522
2286,19,0.4182426909000848,science,0.4166666666666667,0.082,5.08130081300813
1367,19,0.4612210278263762,geography,0.3695652173913043,0.075,4.927536231884058
210,19,0.40310958288170706,science,0.4166666666666667,0.052,8.012820512820513
3763,19,0.42114166578008827,sports,0.38095238095238093,0.031,12.288786482334869
2540,19,0.36472641119191795,sports,0.42857142857142855,0.054,7.936507936507936
758,19,0.35929181619913075,sports,0.42857142857142855,0.049,8.746355685131194
652,19,0.2886265323164987,sports,0.5238095238095238,0.063,8.314436885865458
2871,19,0.45088451882378056,science,0.3333333333333333,0.031,10.75268817204301
2976,19,0.3592547401822145,science,0.4166666666666667,0.054,7.71604938271605
499,19,0.4480388885139661,science,0.3333333333333333,0.043,7.7519379844961245
2669,19,0.4436387840663103,science,0.3333333333333333,0.055,6.0606060606060606
3595,19,0.4328711876939392,history,0.33962264150943394,0.075,4.528301886792453
3627,19,0.4307345885709354,science,0.3333333333333333,0.043,7.7519379844961245
3329,19,0.5657556931139929,sports,0.23809523809523808,0.029,8.210180623973727
1898,19,0.7065747165586034,author,0.1875,0.01,18.75
1990,19,0.527347430069022,science,0.25,0.014,17.857142857142858
2733,19,0.5256333546941627,author,0.25,0.017,14.705882352941176
1128,19,0.3412240206307011,sports,0.38095238095238093,0.045,8.465608465608465
3771,19,0.3083306174227367,science,0.4166666666666667,0.091,4.578754578754579
103,19,0.2670043200996338,sports,0.47619047619047616,0.061,7.8064012490242
80,19,0.7579241524195266,science,0.16666666666666666,0.015,11.11111111111111
2954,19,0.3747145793887928,sports,0.3333333333333333,0.05,6.666666666666666
1581,19,0.3698214979695028,science,0.3333333333333333,0.033,10.1010101010101
4055,19,0.7133900955477379,science,0.16666666666666666,0.006,27.777777777777775
3037,19,0.4144486072878911,sports,0.2857142857142857,0.035,8.163265306122447
