neuron_id,layer,n_queries,fired_count,activity_rate,entropy,spec_score,top_category,top_cat_rate,top_cat_lift,cat_other_rate,cat_entertainment_rate,cat_definition_rate,cat_history_rate,cat_sports_rate,cat_dates_numbers_rate,cat_biography_rate,cat_geography_rate,cat_science_rate,cat_author_rate,cat_other_count,cat_entertainment_count,cat_definition_count,cat_history_count,cat_sports_count,cat_dates_numbers_count,cat_biography_count,cat_geography_count,cat_science_count,cat_author_count
0,21,1000,24,0.024,1.9059567923410712,0.17225348234025084,biography,0.09090909090909091,3.787878787878788,0.0196078431372549,0.014705882352941176,0.013157894736842105,0.03773584905660377,0.047619047619047616,0.0425531914893617,0.09090909090909091,0.043478260869565216,0.0,0.0,12,1,1,2,1,2,3,2,0,0
1,21,1000,14,0.014,1.4972698759469534,0.34974395495627186,science,0.08333333333333333,5.952380952380952,0.014705882352941176,0.014705882352941176,0.013157894736842105,0.0,0.0,0.02127659574468085,0.0,0.021739130434782608,0.08333333333333333,0.0,9,1,1,0,0,1,0,1,1,0
2,21,1000,41,0.041,1.8687573078317254,0.18840901319230519,definition,0.06578947368421052,1.6046213093709882,0.0457516339869281,0.014705882352941176,0.06578947368421052,0.03773584905660377,0.0,0.0,0.06060606060606061,0.043478260869565216,0.0,0.03125,28,1,5,2,0,0,2,2,0,1
3,21,1000,26,0.026,1.6742586330659601,0.2728787143805723,science,0.08333333333333333,3.2051282051282053,0.029411764705882353,0.029411764705882353,0.039473684210526314,0.0,0.0,0.02127659574468085,0.030303030303030304,0.0,0.08333333333333333,0.0,18,2,3,0,0,1,1,0,1,0
4,21,1000,160,0.16,2.145082899582004,0.06840233348650848,science,0.3333333333333333,2.083333333333333,0.14215686274509803,0.23529411764705882,0.2236842105263158,0.1509433962264151,0.0,0.1276595744680851,0.15151515151515152,0.17391304347826086,0.3333333333333333,0.28125,87,16,17,8,0,6,5,8,4,9
5,21,1000,36,0.036,1.630172310241112,0.29202516111080923,sports,0.19047619047619047,5.291005291005291,0.032679738562091505,0.014705882352941176,0.05263157894736842,0.0,0.19047619047619047,0.02127659574468085,0.12121212121212122,0.0,0.0,0.0625,20,1,4,0,4,1,4,0,0,2
6,21,1000,40,0.04,1.9045222788976042,0.1728764836129646,science,0.16666666666666666,4.166666666666666,0.04084967320261438,0.014705882352941176,0.02631578947368421,0.05660377358490566,0.0,0.02127659574468085,0.030303030303030304,0.08695652173913043,0.16666666666666666,0.03125,25,1,2,3,0,1,1,4,2,1
7,21,1000,103,0.103,1.9187819913589454,0.16668356917747706,science,0.5,4.8543689320388355,0.10130718954248366,0.07352941176470588,0.10526315789473684,0.11320754716981132,0.0,0.0425531914893617,0.09090909090909091,0.13043478260869565,0.5,0.15625,62,5,8,6,0,2,3,6,6,5
8,21,1000,40,0.04,1.782304315382207,0.2259550707571546,definition,0.14473684210526316,3.618421052631579,0.03104575163398693,0.04411764705882353,0.14473684210526316,0.03773584905660377,0.0,0.06382978723404255,0.030303030303030304,0.0,0.08333333333333333,0.0,19,3,11,2,0,3,1,0,1,0
9,21,1000,30,0.03,1.9395085088775041,0.1576821569900959,biography,0.09090909090909091,3.0303030303030307,0.021241830065359478,0.04411764705882353,0.02631578947368421,0.05660377358490566,0.0,0.0851063829787234,0.09090909090909091,0.021739130434782608,0.08333333333333333,0.0,13,3,2,3,0,4,3,1,1,0
