neuron_id,layer,n_queries,fired_count,activity_rate,entropy,spec_score,top_category,top_cat_rate,top_cat_lift,cat_other_rate,cat_entertainment_rate,cat_definition_rate,cat_history_rate,cat_sports_rate,cat_dates_numbers_rate,cat_biography_rate,cat_geography_rate,cat_science_rate,cat_author_rate,cat_other_count,cat_entertainment_count,cat_definition_count,cat_history_count,cat_sports_count,cat_dates_numbers_count,cat_biography_count,cat_geography_count,cat_science_count,cat_author_count
0,20,1000,111,0.111,2.164764061383899,0.05985491351850036,dates_numbers,0.1702127659574468,1.5334483419589802,0.1111111111111111,0.07352941176470588,0.13157894736842105,0.1320754716981132,0.0,0.1702127659574468,0.09090909090909091,0.13043478260869565,0.08333333333333333,0.09375,68,5,10,7,0,8,3,6,1,3
1,20,1000,28,0.028,1.5810121029671058,0.3133751678591302,definition,0.09210526315789473,3.289473684210526,0.027777777777777776,0.014705882352941176,0.09210526315789473,0.018867924528301886,0.0,0.0,0.030303030303030304,0.0,0.0,0.03125,17,1,7,1,0,0,1,0,0,1
2,20,1000,31,0.031,1.6953243334269357,0.26372999695637334,geography,0.06521739130434782,2.1037868162692845,0.03431372549019608,0.04411764705882353,0.02631578947368421,0.018867924528301886,0.0,0.02127659574468085,0.0,0.06521739130434782,0.0,0.0,21,3,2,1,0,1,0,3,0,0
3,20,1000,11,0.011,0.7722272899348326,0.6646259492061997,entertainment,0.07352941176470588,6.684491978609627,0.006535947712418301,0.07352941176470588,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,2,0,0,0,0,0,0,0
4,20,1000,16,0.016,1.5176522847561102,0.34089198728255876,history,0.05660377358490566,3.5377358490566038,0.013071895424836602,0.029411764705882353,0.0,0.05660377358490566,0.047619047619047616,0.0425531914893617,0.0,0.0,0.0,0.0,8,2,0,3,1,2,0,0,0,0
5,20,1000,70,0.07,2.119023131152711,0.07971994711502706,entertainment,0.11764705882352941,1.6806722689075628,0.06699346405228758,0.11764705882352941,0.05263157894736842,0.11320754716981132,0.09523809523809523,0.0851063829787234,0.030303030303030304,0.043478260869565216,0.0,0.0625,41,8,4,6,2,4,1,2,0,2
6,20,1000,77,0.077,2.0372728831931415,0.11522362869809066,science,0.16666666666666666,2.1645021645021645,0.07679738562091504,0.029411764705882353,0.10526315789473684,0.05660377358490566,0.09523809523809523,0.02127659574468085,0.0,0.15217391304347827,0.16666666666666666,0.15625,47,2,8,3,2,1,0,7,2,5
7,20,1000,38,0.038,1.8379327784580046,0.20179593620657688,biography,0.09090909090909091,2.3923444976076556,0.03758169934640523,0.029411764705882353,0.06578947368421052,0.018867924528301886,0.0,0.0425531914893617,0.09090909090909091,0.043478260869565216,0.0,0.0,23,2,5,1,0,2,3,2,0,0
8,20,1000,97,0.097,2.0854377776049113,0.09430588083360625,entertainment,0.20588235294117646,2.1224984839296543,0.0915032679738562,0.20588235294117646,0.013157894736842105,0.11320754716981132,0.0,0.10638297872340426,0.12121212121212122,0.13043478260869565,0.08333333333333333,0.125,56,14,1,6,0,5,4,6,1,4
9,20,1000,41,0.041,1.7095929570876056,0.2575332124361902,entertainment,0.08823529411764706,2.1520803443328553,0.04411764705882353,0.08823529411764706,0.02631578947368421,0.05660377358490566,0.0,0.0,0.030303030303030304,0.0,0.0,0.0625,27,6,2,3,0,0,1,0,0,2
10,20,1000,89,0.089,1.987713854235027,0.13674684150308325,geography,0.2391304347826087,2.68685881778212,0.08006535947712418,0.10294117647058823,0.07894736842105263,0.11320754716981132,0.0,0.10638297872340426,0.09090909090909091,0.2391304347826087,0.0,0.0625,49,7,6,6,0,5,3,11,0,2
11,20,1000,33,0.033,1.593111352919918,0.30812053036945575,dates_numbers,0.10638297872340426,3.223726627981947,0.03594771241830065,0.014705882352941176,0.039473684210526314,0.0,0.047619047619047616,0.10638297872340426,0.0,0.021739130434782608,0.0,0.0,22,1,3,0,1,5,0,1,0,0
12,20,1000,42,0.042,1.9765097627021073,0.14161271663056918,geography,0.10869565217391304,2.5879917184265007,0.03758169934640523,0.029411764705882353,0.02631578947368421,0.07547169811320754,0.0,0.0425531914893617,0.06060606060606061,0.10869565217391304,0.0,0.0625,23,2,2,4,0,2,2,5,0,2
13,20,1000,215,0.215,2.2738625162251522,0.012474056596773031,sports,0.3333333333333333,1.5503875968992247,0.20261437908496732,0.20588235294117646,0.25,0.2830188679245283,0.3333333333333333,0.2553191489361702,0.18181818181818182,0.15217391304347827,0.3333333333333333,0.21875,124,14,19,15,7,12,6,7,4,7
14,20,1000,43,0.043,2.008004900717986,0.12793455198349168,geography,0.08695652173913043,2.0222446916076846,0.042483660130718956,0.058823529411764705,0.039473684210526314,0.018867924528301886,0.047619047619047616,0.0425531914893617,0.0,0.08695652173913043,0.0,0.0625,26,4,3,1,1,2,0,4,0,2
15,20,1000,44,0.044,2.0747045222970315,0.09896727438667718,sports,0.19047619047619047,4.329004329004329,0.032679738562091505,0.07352941176470588,0.013157894736842105,0.018867924528301886,0.19047619047619047,0.10638297872340426,0.06060606060606061,0.043478260869565216,0.08333333333333333,0.09375,20,5,1,1,4,5,2,2,1,3
16,20,1000,136,0.136,2.1047173872736504,0.0859328527412242,entertainment,0.27941176470588236,2.0544982698961936,0.1388888888888889,0.27941176470588236,0.10526315789473684,0.16981132075471697,0.09523809523809523,0.1276595744680851,0.12121212121212122,0.0,0.08333333333333333,0.0625,85,19,8,9,2,6,4,0,1,2
17,20,1000,58,0.058,2.0953481334136255,0.09000186799218379,sports,0.19047619047619047,3.2840722495894905,0.058823529411764705,0.029411764705882353,0.05263157894736842,0.018867924528301886,0.19047619047619047,0.0851063829787234,0.09090909090909091,0.021739130434782608,0.08333333333333333,0.0625,36,2,4,1,4,4,3,1,1,2
