layer,neuron_id,top_category,spec_score,top_cat_rate,activity_rate,top_cat_lift,rank_score
23,1641,sports,0.81983524084609,0.19047619047619047,0.011,17.316017316017316,0.7807954674724666
23,827,sports,0.604745863235379,0.14285714285714285,0.013,10.989010989010989,0.43196133088241356
23,3236,sports,0.6259633296883502,0.09523809523809523,0.013,7.326007326007326,0.29807777604207153
23,1936,sports,0.6035576581110216,0.047619047619047616,0.01,4.761904761904762,0.13686114696395046
23,3312,science,0.8432316647166871,0.25,0.01,25.0,1.054039580895859
23,3114,science,0.6658893599040361,0.16666666666666666,0.016,10.416666666666666,0.55490779992003
23,1636,science,0.6324093390846166,0.16666666666666666,0.013,12.820512820512821,0.5270077825705138
23,314,science,0.6467390115882086,0.08333333333333333,0.012,6.944444444444444,0.26947458816175357
23,3033,science,0.6311324202798099,0.08333333333333333,0.012,6.944444444444444,0.2629718417832541
23,965,science,0.6432029274264552,0.08333333333333333,0.017,4.901960784313725,0.26274629388335585
23,1052,science,0.6057137562405793,0.08333333333333333,0.012,6.944444444444444,0.25238073176690806
23,858,history,0.8033240624848029,0.05660377358490566,0.01,5.660377358490566,0.22735586674098196
23,967,history,0.7523677796499458,0.05660377358490566,0.015,3.7735849056603774,0.1607051149127688
23,2068,history,0.6112916286722392,0.05660377358490566,0.014,4.0431266846361185,0.13989789599883418
23,1277,history,0.7088489820374275,0.03773584905660377,0.017,2.2197558268590454,0.05937628899021444
23,3342,geography,0.6509509455329704,0.2391304347826087,0.029,8.245877061469265,0.7783109131372472
23,365,geography,0.8899484690158862,0.10869565217391304,0.01,10.869565217391305,0.483667646204286
23,3453,geography,0.6202531671376053,0.15217391304347827,0.025,6.086956521739131,0.4719317576046997
23,3803,geography,0.6206562768700452,0.13043478260869565,0.024,5.434782608695652,0.4047758327413338
23,3500,geography,0.6376676142768232,0.06521739130434782,0.014,4.658385093167702,0.1937283462223673
23,449,geography,0.6075174965755652,0.043478260869565216,0.01,4.3478260869565215,0.11484262695190267
23,1820,geography,0.737528819946244,0.043478260869565216,0.013,3.3444816053511706,0.1072457205098508
23,3873,entertainment,0.6412188721273493,0.11764705882352941,0.022,5.347593582887701,0.3771875718396172
23,3841,entertainment,0.6222686311731789,0.07352941176470588,0.013,5.656108597285068,0.22877523204896283
23,652,entertainment,0.763693834923066,0.058823529411764705,0.015,3.9215686274509807,0.17616928141247198
23,3448,entertainment,0.731935305405915,0.058823529411764705,0.02,2.941176470588235,0.12663240577957005
23,2013,entertainment,0.7261421389790761,0.04411764705882353,0.016,2.7573529411764706,0.08833368364527039
23,382,definition,0.6031624430300437,0.05263157894736842,0.012,4.385964912280701,0.13923417429133048
23,933,definition,0.7563683610000126,0.039473684210526314,0.011,3.588516746411483,0.10714107354885596
23,1821,definition,0.730137604079564,0.039473684210526314,0.014,2.8195488721804507,0.08126284176785807
23,1978,dates_numbers,0.6503305828815427,0.06382978723404255,0.012,5.319148936170213,0.20755231368559868
23,3423,dates_numbers,0.6255157219888205,0.06382978723404255,0.012,5.319148936170213,0.19963267723047462
23,1528,dates_numbers,0.6241192931139639,0.06382978723404255,0.011,5.802707930367505,0.19918700844062676
23,1419,dates_numbers,0.7435366817436042,0.0425531914893617,0.012,3.5460992907801416,0.11219808084255382
23,3112,author,0.6004532514215929,0.34375,0.024,14.322916666666666,1.0320290258808626
23,37,author,0.6464001373931687,0.28125,0.022,12.78409090909091,0.9090001932091435
23,3142,author,0.6173360407877926,0.125,0.015,8.333333333333334,0.38583502549237036
23,3428,author,0.6243002320523978,0.0625,0.013,4.8076923076923075,0.18759021395805223
22,2491,sports,0.7747256470884833,0.14285714285714285,0.011,12.987012987012987,0.5533754622060595
