neuron_id,layer,spec_score,top_category,top_cat_rate,activity_rate,top_cat_lift
3278,23,0.4487880978983865,science,0.5,0.045,11.11111111111111
3312,23,0.8432316647166871,science,0.25,0.01,25.0
3112,23,0.6004532514215929,author,0.34375,0.024,14.322916666666666
1109,23,0.43688565377186594,sports,0.42857142857142855,0.037,11.583011583011583
37,23,0.6464001373931687,author,0.28125,0.022,12.78409090909091
1573,23,0.4214367565614042,sports,0.42857142857142855,0.045,9.523809523809524
285,23,0.4421714834783732,sports,0.38095238095238093,0.036,10.582010582010582
788,23,0.2197596344155781,sports,0.7619047619047619,0.106,7.187780772686433
1391,23,0.2879782718439622,sports,0.5714285714285714,0.073,7.827788649706458
1269,23,0.37208258040491493,sports,0.42857142857142855,0.048,8.928571428571427
1641,23,0.81983524084609,sports,0.19047619047619047,0.011,17.316017316017316
3342,23,0.6509509455329704,geography,0.2391304347826087,0.029,8.245877061469265
3933,23,0.4014141254239446,sports,0.38095238095238093,0.034,11.204481792717086
2976,23,0.4903027092721983,sports,0.2857142857142857,0.02,14.285714285714285
3126,23,0.4647596508288585,sports,0.2857142857142857,0.025,11.428571428571427
3404,23,0.34773657260719015,sports,0.38095238095238093,0.041,9.291521486643436
3036,23,0.258980965032771,science,0.5,0.067,7.462686567164178
3283,23,0.5426396520575579,sports,0.23809523809523808,0.019,12.531328320802004
1677,23,0.4676328034593631,science,0.25,0.042,5.952380952380952
3123,23,0.23049724581892195,science,0.5,0.092,5.434782608695652
3502,23,0.3453126129731303,science,0.3333333333333333,0.042,7.936507936507936
599,23,0.3397055918195633,science,0.3333333333333333,0.039,8.547008547008547
925,23,0.26855750339566287,science,0.4166666666666667,0.049,8.503401360544217
1252,23,0.38958784639414623,sports,0.2857142857142857,0.027,10.582010582010582
3114,23,0.6658893599040361,science,0.16666666666666666,0.016,10.416666666666666
2737,23,0.5797775967140201,sports,0.19047619047619047,0.011,17.316017316017316
106,23,0.4508068617851687,sports,0.23809523809523808,0.028,8.503401360544217
1750,23,0.32191854999127956,science,0.3333333333333333,0.062,5.376344086021505
2618,23,0.42621001466324904,science,0.25,0.023,10.869565217391305
1636,23,0.6324093390846166,science,0.16666666666666666,0.013,12.820512820512821
4043,23,0.25072474615300844,science,0.4166666666666667,0.069,6.038647342995169
895,23,0.34186283277240714,geography,0.30434782608695654,0.06,5.072463768115942
3201,23,0.43550893629578935,sports,0.23809523809523808,0.019,12.531328320802004
3529,23,0.25835246777975773,entertainment,0.39705882352941174,0.113,3.513794898490369
1435,23,0.5442773182217757,author,0.1875,0.022,8.522727272727273
753,23,0.534883700634329,history,0.18867924528301888,0.023,8.203445447087777
367,23,0.3507403894811141,sports,0.2857142857142857,0.036,7.936507936507937
3379,23,0.41621770837502814,sports,0.23809523809523808,0.019,12.531328320802004
3265,23,0.3958777264333101,science,0.25,0.031,8.064516129032258
2722,23,0.20732273037870408,sports,0.47619047619047616,0.075,6.349206349206349
304,23,0.393402497348599,science,0.25,0.022,11.363636363636365
365,23,0.8899484690158862,geography,0.10869565217391304,0.01,10.869565217391305
1708,23,0.28250159401765673,entertainment,0.3382352941176471,0.063,5.368814192343605
3453,23,0.6202531671376053,geography,0.15217391304347827,0.025,6.086956521739131
2225,23,0.3319734464158346,author,0.28125,0.043,6.540697674418605
570,23,0.556667236497352,science,0.16666666666666666,0.019,8.771929824561402
3950,23,0.18815442989041897,sports,0.47619047619047616,0.102,4.6685340802987865
1518,23,0.3581503336822893,science,0.25,0.027,9.25925925925926
3493,23,0.21484657595293766,science,0.4166666666666667,0.078,5.341880341880342
3185,23,0.5370666496639589,science,0.16666666666666666,0.016,10.416666666666666
2615,23,0.31240333122567,sports,0.2857142857142857,0.039,7.326007326007326
1217,23,0.20419984400063562,sports,0.42857142857142855,0.059,7.263922518159807
1563,23,0.5222896502927434,science,0.16666666666666666,0.016,10.416666666666666
2187,23,0.36443907126518904,sports,0.23809523809523808,0.037,6.435006435006435
827,23,0.604745863235379,sports,0.14285714285714285,0.013,10.989010989010989
2178,23,0.25310364595092305,science,0.3333333333333333,0.069,4.8309178743961345
1056,23,0.33636691540338004,science,0.25,0.038,6.578947368421053
900,23,0.4399872765493943,sports,0.19047619047619047,0.019,10.025062656641603
465,23,0.8652893011966183,sports,0.09523809523809523,0.008,11.904761904761903
1542,23,0.32853843645874914,author,0.25,0.042,5.952380952380952
1195,23,0.3410111836301075,sports,0.23809523809523808,0.043,5.537098560354375
675,23,0.32465281997150275,science,0.25,0.033,7.575757575757575
3985,23,0.24317789009419133,science,0.3333333333333333,0.046,7.246376811594202
3803,23,0.6206562768700452,geography,0.13043478260869565,0.024,5.434782608695652
3402,23,0.36967011884507406,geography,0.21739130434782608,0.032,6.7934782608695645
2583,23,0.4279891045173184,author,0.1875,0.022,8.522727272727273
3415,23,0.42699608208458706,author,0.1875,0.016,11.71875
2212,23,0.9587289444612539,science,0.08333333333333333,0.002,41.666666666666664
96,23,0.3193422799741269,science,0.25,0.03,8.333333333333334
3969,23,0.6384590968668268,author,0.125,0.009,13.88888888888889
2601,23,0.2082837902729323,sports,0.38095238095238093,0.087,4.378762999452655
1136,23,0.5246213568228051,history,0.1509433962264151,0.019,7.944389275074479
175,23,0.15116025615686646,sports,0.5238095238095238,0.116,4.51559934318555
2607,23,0.2759599808465638,sports,0.2857142857142857,0.049,5.830903790087463
740,23,0.2361404133955518,sports,0.3333333333333333,0.06,5.555555555555555
3129,23,0.12639780417507718,sports,0.6190476190476191,0.16,3.869047619047619
3793,23,0.4689949365529379,science,0.16666666666666666,0.017,9.80392156862745
3479,23,0.24964237195572114,author,0.3125,0.077,4.058441558441558
3142,23,0.6173360407877926,author,0.125,0.015,8.333333333333334
1398,23,0.1800045121539442,sports,0.42857142857142855,0.123,3.484320557491289
962,23,0.2899173562316335,geography,0.2608695652173913,0.055,4.743083003952569
1508,23,0.22669908061288413,science,0.3333333333333333,0.076,4.385964912280701
3873,23,0.6412188721273493,entertainment,0.11764705882352941,0.022,5.347593582887701
323,23,0.45230367903064905,science,0.16666666666666666,0.031,5.376344086021505
3177,23,0.346439371839658,geography,0.21739130434782608,0.041,5.302226935312831
3850,23,0.39322940822967867,sports,0.19047619047619047,0.02,9.523809523809524
3100,23,0.31785904604468407,entertainment,0.23529411764705882,0.047,5.006257822277847
3925,23,0.22358964741038545,sports,0.3333333333333333,0.055,6.0606060606060606
2402,23,0.3280874550303915,history,0.22641509433962265,0.044,5.145797598627787
2135,23,0.2225869939049877,sports,0.3333333333333333,0.061,5.46448087431694
520,23,0.24567701359554162,history,0.3018867924528302,0.066,4.574042309891366
1491,23,0.3865405163648502,sports,0.19047619047619047,0.028,6.802721088435374
3866,23,0.3462773569731866,biography,0.21212121212121213,0.05,4.242424242424242
3425,23,0.30846089404755717,sports,0.23809523809523808,0.032,7.44047619047619
1912,23,0.44016102895785325,science,0.16666666666666666,0.029,5.747126436781609
2127,23,0.43805291303646376,science,0.16666666666666666,0.027,6.172839506172839
