neuron_id,layer,n_queries,fired_count,activity_rate,entropy,spec_score,top_category,top_cat_rate,top_cat_lift,cat_other_rate,cat_entertainment_rate,cat_definition_rate,cat_history_rate,cat_sports_rate,cat_dates_numbers_rate,cat_biography_rate,cat_geography_rate,cat_science_rate,cat_author_rate,cat_other_count,cat_entertainment_count,cat_definition_count,cat_history_count,cat_sports_count,cat_dates_numbers_count,cat_biography_count,cat_geography_count,cat_science_count,cat_author_count
0,23,1000,6,0.006,0.6294666265714612,0.7266261175377595,sports,0.09523809523809523,15.873015873015872,0.004901960784313725,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.021739130434782608,0.0,0.0,3,0,0,0,2,0,0,1,0,0
1,23,1000,23,0.023,1.7520703474547534,0.23908551619408747,author,0.03125,1.358695652173913,0.027777777777777776,0.029411764705882353,0.013157894736842105,0.018867924528301886,0.0,0.0,0.030303030303030304,0.0,0.0,0.03125,17,2,1,1,0,0,1,0,0,1
2,23,1000,122,0.122,2.2134036091055447,0.03873102634071979,biography,0.24242424242424243,1.987083954297069,0.10947712418300654,0.16176470588235295,0.13157894736842105,0.11320754716981132,0.09523809523809523,0.19148936170212766,0.24242424242424243,0.043478260869565216,0.08333333333333333,0.1875,67,11,10,6,2,9,8,2,1,6
3,23,1000,1,0.001,-0.0,1.0,other,0.0016339869281045752,1.6339869281045751,0.0016339869281045752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0
4,23,1000,61,0.061,2.0075153689846097,0.12814715291401357,other,0.07352941176470588,1.205400192864031,0.07352941176470588,0.07352941176470588,0.02631578947368421,0.05660377358490566,0.047619047619047616,0.0425531914893617,0.0,0.021739130434782608,0.0,0.0625,45,5,2,3,1,2,0,1,0,2
5,23,1000,33,0.033,2.0134458394809753,0.125571582302352,sports,0.09523809523809523,2.8860028860028857,0.03104575163398693,0.014705882352941176,0.02631578947368421,0.018867924528301886,0.09523809523809523,0.0425531914893617,0.0,0.043478260869565216,0.08333333333333333,0.09375,19,1,2,1,2,2,0,2,1,3
6,23,1000,43,0.043,1.9850955232426566,0.13788396820486593,geography,0.08695652173913043,2.0222446916076846,0.0457516339869281,0.029411764705882353,0.05263157894736842,0.03773584905660377,0.0,0.02127659574468085,0.030303030303030304,0.08695652173913043,0.0,0.03125,28,2,4,2,0,1,1,4,0,1
7,23,1000,92,0.092,2.173298841728678,0.056148305510506646,science,0.25,2.717391304347826,0.08823529411764706,0.07352941176470588,0.13157894736842105,0.09433962264150944,0.09523809523809523,0.0851063829787234,0.06060606060606061,0.13043478260869565,0.25,0.03125,54,5,10,5,2,4,2,6,3,1
8,23,1000,70,0.07,2.061976636810561,0.10449492481974776,science,0.25,3.571428571428571,0.06045751633986928,0.10294117647058823,0.07894736842105263,0.09433962264150944,0.0,0.10638297872340426,0.06060606060606061,0.043478260869565216,0.25,0.09375,37,7,6,5,0,5,2,2,3,3
9,23,1000,16,0.016,1.9139743491045016,0.1687715016795469,biography,0.030303030303030304,1.893939393939394,0.013071895424836602,0.029411764705882353,0.02631578947368421,0.018867924528301886,0.0,0.02127659574468085,0.030303030303030304,0.021739130434782608,0.0,0.0,8,2,2,1,0,1,1,1,0,0
10,23,1000,42,0.042,1.9726876348966798,0.1432726456455954,history,0.09433962264150944,2.2461814914645104,0.03758169934640523,0.029411764705882353,0.02631578947368421,0.09433962264150944,0.0,0.06382978723404255,0.06060606060606061,0.08695652173913043,0.0,0.03125,23,2,2,5,0,3,2,4,0,1
11,23,1000,0,0.0,0.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
12,23,1000,22,0.022,1.5713870787758988,0.3175552627535567,author,0.09375,4.261363636363637,0.017973856209150325,0.014705882352941176,0.05263157894736842,0.018867924528301886,0.0,0.0,0.06060606060606061,0.0,0.0,0.09375,11,1,4,1,0,0,2,0,0,3
13,23,1000,16,0.016,1.0360473346335584,0.5500503595780739,biography,0.09090909090909091,5.681818181818182,0.017973856209150325,0.0,0.013157894736842105,0.018867924528301886,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,11,0,1,1,0,0,3,0,0,0
14,23,1000,17,0.017,1.6368233577159335,0.2891366478936177,biography,0.06060606060606061,3.5650623885918002,0.014705882352941176,0.014705882352941176,0.039473684210526314,0.018867924528301886,0.0,0.0,0.06060606060606061,0.021739130434782608,0.0,0.0,9,1,3,1,0,0,2,1,0,0
15,23,1000,4,0.004,-0.0,1.0,other,0.006535947712418301,1.6339869281045751,0.006535947712418301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,0
16,23,1000,24,0.024,1.7228658140006647,0.25176888391975716,sports,0.09523809523809523,3.968253968253968,0.024509803921568627,0.029411764705882353,0.013157894736842105,0.018867924528301886,0.09523809523809523,0.02127659574468085,0.0,0.043478260869565216,0.0,0.0,15,2,1,1,2,1,0,2,0,0
17,23,1000,163,0.163,2.241137550826475,0.026686328489893496,sports,0.38095238095238093,2.3371311714869996,0.14869281045751634,0.22058823529411764,0.14473684210526316,0.16981132075471697,0.38095238095238093,0.1276595744680851,0.24242424242424243,0.13043478260869565,0.16666666666666666,0.21875,91,15,11,9,8,6,8,6,2,7
18,23,1000,7,0.007,0.6824410737934514,0.7036196074273742,definition,0.013157894736842105,1.8796992481203005,0.00980392156862745,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,1,0,0,0,0,0,0,0
19,23,1000,93,0.093,2.0789783933585215,0.09711115576830609,entertainment,0.20588235294117646,2.213788741302973,0.09477124183006536,0.20588235294117646,0.10526315789473684,0.05660377358490566,0.0,0.06382978723404255,0.06060606060606061,0.043478260869565216,0.08333333333333333,0.0625,58,14,8,3,0,3,2,2,1,2
20,23,1000,24,0.024,1.374449959080911,0.4030839671190102,author,0.09375,3.90625,0.029411764705882353,0.014705882352941176,0.0,0.0,0.0,0.02127659574468085,0.030303030303030304,0.0,0.0,0.09375,18,1,0,0,0,1,1,0,0,3
21,23,1000,44,0.044,1.7642741127620245,0.2337854882626973,science,0.25,5.6818181818181825,0.042483660130718956,0.04411764705882353,0.02631578947368421,0.07547169811320754,0.0,0.0425531914893617,0.030303030303030304,0.0,0.25,0.09375,26,3,2,4,0,2,1,0,3,3
22,23,1000,7,0.007,1.2577735406228383,0.4537558918235858,author,0.03125,4.464285714285714,0.006535947712418301,0.014705882352941176,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.03125,4,1,0,1,0,0,0,0,0,1
23,23,1000,96,0.096,2.0721003302251724,0.10009826063330185,science,0.25,2.6041666666666665,0.10784313725490197,0.058823529411764705,0.07894736842105263,0.07547169811320754,0.047619047619047616,0.10638297872340426,0.0,0.08695652173913043,0.25,0.09375,66,4,6,4,1,5,0,4,3,3
24,23,1000,68,0.068,2.1501004958833683,0.06622321910040785,dates_numbers,0.1276595744680851,1.8773466833541925,0.06372549019607843,0.08823529411764706,0.039473684210526314,0.07547169811320754,0.09523809523809523,0.1276595744680851,0.06060606060606061,0.08695652173913043,0.0,0.0625,39,6,3,4,2,6,2,4,0,2
25,23,1000,4,0.004,0.5846745581478878,0.7460790656871503,definition,0.013157894736842105,3.289473684210526,0.004901960784313725,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0,0,0,0,0,0,0
26,23,1000,20,0.02,1.6087968152465795,0.3013084206348853,sports,0.09523809523809523,4.761904761904762,0.0196078431372549,0.0,0.02631578947368421,0.03773584905660377,0.09523809523809523,0.0,0.0,0.021739130434782608,0.0,0.03125,12,0,2,2,2,0,0,1,0,1
27,23,1000,8,0.008,0.5623351446188083,0.7557809497117844,entertainment,0.029411764705882353,3.676470588235294,0.00980392156862745,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,0,0,0,0,0,0,0,0
28,23,1000,34,0.034,1.8247595330987145,0.20751700397487416,definition,0.10526315789473684,3.095975232198142,0.029411764705882353,0.029411764705882353,0.10526315789473684,0.0,0.0,0.0,0.06060606060606061,0.043478260869565216,0.08333333333333333,0.03125,18,2,8,0,0,0,2,2,1,1
29,23,1000,10,0.01,1.0971167842658076,0.5235282345899195,entertainment,0.014705882352941176,1.4705882352941175,0.013071895424836602,0.014705882352941176,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,1,0,0,0,0,0,0,0
30,23,1000,60,0.06,2.0541586518046127,0.10789023256743357,biography,0.15151515151515152,2.5252525252525255,0.06372549019607843,0.058823529411764705,0.02631578947368421,0.05660377358490566,0.047619047619047616,0.02127659574468085,0.15151515151515152,0.06521739130434782,0.0,0.0625,39,4,2,3,1,1,5,3,0,2
31,23,1000,41,0.041,2.001995656899221,0.13054433341439253,author,0.0625,1.524390243902439,0.0457516339869281,0.058823529411764705,0.02631578947368421,0.03773584905660377,0.0,0.02127659574468085,0.030303030303030304,0.021739130434782608,0.0,0.0625,28,4,2,2,0,1,1,1,0,2
32,23,1000,43,0.043,1.7748125765488063,0.2292086915923608,dates_numbers,0.10638297872340426,2.4740227610094014,0.04084967320261438,0.014705882352941176,0.06578947368421052,0.018867924528301886,0.0,0.10638297872340426,0.09090909090909091,0.06521739130434782,0.0,0.0,25,1,5,1,0,5,3,3,0,0
33,23,1000,74,0.074,2.0981078462154157,0.08880333995072853,science,0.16666666666666666,2.2522522522522523,0.07679738562091504,0.10294117647058823,0.09210526315789473,0.03773584905660377,0.0,0.0425531914893617,0.06060606060606061,0.06521739130434782,0.16666666666666666,0.0625,47,7,7,2,0,2,2,3,2,2
