neuron_id,layer,spec_score,top_category,top_cat_rate,activity_rate,top_cat_lift
3543,21,0.7614619391595744,science,0.25,0.018,13.88888888888889
2311,21,0.4587199144744054,sports,0.38095238095238093,0.044,8.658008658008658
2410,21,0.628372669437475,science,0.25,0.022,11.363636363636365
97,21,0.886806745893149,science,0.16666666666666666,0.01,16.666666666666664
120,21,0.46842710831839307,author,0.3125,0.037,8.445945945945946
3068,21,0.23450408366830333,sports,0.6190476190476191,0.088,7.034632034632035
2583,21,0.24871769084718365,sports,0.5714285714285714,0.073,7.827788649706458
821,21,0.5633833317530087,science,0.25,0.029,8.620689655172413
754,21,0.33670384854586477,science,0.4166666666666667,0.063,6.613756613756614
3508,21,0.4193840629691624,science,0.3333333333333333,0.035,9.523809523809522
2735,21,0.5581458515997513,science,0.25,0.029,8.620689655172413
2674,21,0.41725620332846103,science,0.3333333333333333,0.025,13.333333333333332
3210,21,0.3603406138258112,sports,0.38095238095238093,0.045,8.465608465608465
2062,21,0.530195292885973,science,0.25,0.027,9.25925925925926
837,21,0.317206497230041,science,0.4166666666666667,0.05,8.333333333333334
1790,21,0.30753322430377894,sports,0.42857142857142855,0.054,7.936507936507936
2696,21,0.38225224295414084,science,0.3333333333333333,0.028,11.904761904761903
2378,21,0.5020841061487057,science,0.25,0.02,12.5
858,21,0.49352519104917125,science,0.25,0.029,8.620689655172413
997,21,0.2948554251920784,geography,0.41304347826086957,0.081,5.099302200751476
2483,21,0.6841049584846185,geography,0.17391304347826086,0.023,7.561436672967864
2331,21,0.474314348416907,science,0.25,0.018,13.88888888888889
3577,21,0.376338530605962,author,0.3125,0.06,5.208333333333334
1785,21,0.28216552123629224,science,0.4166666666666667,0.061,6.830601092896175
3817,21,0.3280320275779871,entertainment,0.35294117647058826,0.074,4.769475357710652
1754,21,0.17358958134237812,sports,0.6666666666666666,0.129,5.167958656330749
516,21,0.5208526639362072,entertainment,0.22058823529411764,0.058,3.803245436105476
3855,21,0.45314902347467445,science,0.25,0.027,9.25925925925926
3050,21,0.33693946582737455,science,0.3333333333333333,0.056,5.952380952380952
2575,21,0.33519386478957003,science,0.3333333333333333,0.051,6.5359477124183005
1349,21,0.7338178728814426,geography,0.15217391304347827,0.018,8.454106280193239
1620,21,0.4463216564672561,science,0.25,0.032,7.8125
3203,21,0.3322501046300108,sports,0.3333333333333333,0.045,7.407407407407407
713,21,0.3286939500586431,sports,0.3333333333333333,0.038,8.771929824561402
3100,21,0.2550871246307349,sports,0.42857142857142855,0.067,6.3965884861407245
493,21,0.431562524792114,science,0.25,0.024,10.416666666666666
3921,21,0.27893882200057674,sports,0.38095238095238093,0.045,8.465608465608465
3295,21,0.6367513053404827,science,0.16666666666666666,0.019,8.771929824561402
3001,21,0.3183370875122299,science,0.3333333333333333,0.069,4.8309178743961345
1847,21,0.6325157711425967,science,0.16666666666666666,0.018,9.25925925925926
3974,21,0.3113345201840928,sports,0.3333333333333333,0.033,10.1010101010101
3225,21,0.2533128410468449,author,0.40625,0.072,5.642361111111112
791,21,0.5356357960144705,sports,0.19047619047619047,0.012,15.873015873015872
104,21,0.30360226305869176,sports,0.3333333333333333,0.048,6.944444444444444
3521,21,0.30127755672517764,science,0.3333333333333333,0.069,4.8309178743961345
1006,21,0.5239170048280459,sports,0.19047619047619047,0.021,9.070294784580497
1828,21,0.2984273407877589,science,0.3333333333333333,0.045,7.407407407407407
938,21,0.18914274530970465,sports,0.5238095238095238,0.116,4.51559934318555
2649,21,0.2879761603520593,author,0.34375,0.058,5.926724137931034
1228,21,0.344590771713464,sports,0.2857142857142857,0.031,9.216589861751151
3220,21,0.23500469123017087,science,0.4166666666666667,0.089,4.681647940074907
1489,21,0.5860927620547329,science,0.16666666666666666,0.023,7.246376811594202
3622,21,0.20481792397167486,sports,0.47619047619047616,0.099,4.810004810004809
3186,21,0.5106758688567448,sports,0.19047619047619047,0.022,8.658008658008658
1986,21,0.3440207574045727,geography,0.2826086956521739,0.063,4.485852311939268
3738,21,0.2915313261353675,science,0.3333333333333333,0.061,5.46448087431694
2877,21,0.576522195007528,science,0.16666666666666666,0.011,15.151515151515152
3756,21,0.2878705278006475,science,0.3333333333333333,0.057,5.847953216374268
1961,21,0.1912617149234257,science,0.5,0.085,5.88235294117647
4030,21,0.3734807862365608,science,0.25,0.053,4.716981132075472
3300,21,0.38931259118051353,geography,0.2391304347826087,0.044,5.434782608695652
232,21,0.47458972589769854,geography,0.1956521739130435,0.041,4.7720042417815485
