neuron_id,active_rate,top1_mode_frac,top1_mode_doc_token_id,top1_mode_doc_token_str,a_j_mean_active,a_j_std_active,lens,n_queries
3276,0.90625,1.0,41487,@DOC_ID_5533830247117131523@,30.66936994421071,19.19209943128613,simple,32
2279,0.46875,1.0,35838,@DOC_ID_1074837804365915475@,20.270138422648113,16.037331223160134,simple,32
2888,0.4375,1.0,32102,@DOC_ID_3180949643664273199@,29.8730308668954,31.57845860149021,simple,32
2491,0.40625,1.0,32101,@DOC_ID_-3952149172515325408@,19.049151970789982,11.782975061819704,simple,32
24,0.375,1.0,32113,@DOC_ID_-6610224977170980268@,18.204302151997883,8.037970564928663,simple,8
216,0.375,1.0,34783,@DOC_ID_5521787839373505850@,31.090381622314453,22.216439149474304,simple,32
440,0.375,1.0,34261,@DOC_ID_-7230881491063309976@,38.38762958844503,19.94530441432419,simple,32
1203,0.375,1.0,34486,@DOC_ID_2083044886753908584@,23.709887901941936,19.32374757410433,simple,32
1610,0.375,1.0,32115,@DOC_ID_-3191475148767158893@,10.864006161689758,6.689078333172603,simple,32
2218,0.375,1.0,36561,@DOC_ID_-6669865541044619894@,15.107021749019623,13.09786110465545,simple,32
295,0.34375,1.0,35990,@DOC_ID_-3914274805354767746@,29.15939515287226,18.92893224030307,simple,32
1778,0.34375,1.0,32116,@DOC_ID_3600692813210463538@,13.810108098116787,11.577886105340795,simple,32
1783,0.34375,1.0,32108,@DOC_ID_7402252165412431758@,21.171727180480957,14.141717700478464,simple,32
1854,0.34375,1.0,39179,@DOC_ID_5097660524887390609@,12.283118724822998,10.617137280488333,simple,32
2817,0.34375,1.0,32104,@DOC_ID_3369959950731134123@,21.6703614321622,25.033211804704774,simple,32
2892,0.34375,1.0,32715,@DOC_ID_5402997770120249191@,25.03246259689331,16.883963590231062,simple,32
308,0.3125,1.0,35293,@DOC_ID_-6842642075378543750@,25.947605991363524,17.67404008923133,simple,32
413,0.3125,1.0,33262,@DOC_ID_-3278042102197863362@,19.130091547966003,21.19693588049484,simple,32
472,0.3125,1.0,32117,@DOC_ID_-4636347768352449438@,20.82439594268799,25.930985127872944,simple,32
863,0.3125,1.0,34012,@DOC_ID_-2375647771766162958@,17.52397494316101,9.320355250945543,simple,32
1248,0.3125,1.0,32106,@DOC_ID_6035361184366570886@,15.005688238143922,16.261991699255297,simple,32
2562,0.3125,1.0,38214,@DOC_ID_7430442821177539535@,19.87264566421509,18.035549487825826,simple,32
3445,0.3125,1.0,32121,@DOC_ID_2410183720845572781@,22.803433179855347,20.06105266338669,simple,32
3733,0.3125,1.0,38979,@DOC_ID_5017910100247109513@,20.553123450279237,19.163821554969097,simple,32
3852,0.3125,1.0,36047,@DOC_ID_-4415480885049579687@,24.327885818481445,25.774598363976178,simple,32
