neuron_id,active_rate,top1_mode_frac,top1_mode_doc_token_id,top1_mode_doc_token_str,a_j_mean_active,a_j_std_active,lens,n_queries
631,1.0,1.0,32120,@DOC_ID_-1374932068194623395@,231.6574363708496,56.2924741091661,simple,32
1934,0.6875,1.0,32954,@DOC_ID_-2038038474043772520@,145.02572285045278,82.22910675940324,simple,32
3177,0.59375,1.0,32116,@DOC_ID_3600692813210463538@,66.06461685582211,43.05192686385928,simple,32
1419,0.5625,1.0,35127,@DOC_ID_-5087815032692832740@,53.93231338924832,31.241375181143972,simple,32
3150,0.53125,1.0,32954,@DOC_ID_-2038038474043772520@,148.76757857378792,154.87438482627545,simple,32
3198,0.53125,1.0,40511,@DOC_ID_-1950985663475490940@,76.31342988855698,61.78609276000686,simple,32
3009,0.5,1.0,32120,@DOC_ID_-1374932068194623395@,65.7667296230793,69.04920395559886,simple,32
144,0.46875,1.0,38111,@DOC_ID_-8382931453554402401@,57.32445576985677,41.736616547346976,simple,32
2162,0.46875,1.0,32100,@DOC_ID_-2081335883615568321@,62.82036870320638,40.60691041165324,simple,32
2908,0.46875,1.0,35847,@DOC_ID_6955947243073908765@,79.08026415506998,62.61315803217609,simple,32
690,0.4375,1.0,32102,@DOC_ID_3180949643664273199@,44.85673182351248,31.03708177416319,simple,32
874,0.4375,1.0,32104,@DOC_ID_3369959950731134123@,64.12562356676374,45.13106462761106,simple,32
2198,0.4375,1.0,32100,@DOC_ID_-2081335883615568321@,91.10974243709019,68.93563946818495,simple,32
2383,0.4375,1.0,32101,@DOC_ID_-3952149172515325408@,61.79737976619175,42.956192660534576,simple,32
3902,0.4375,1.0,32104,@DOC_ID_3369959950731134123@,40.33228356497629,36.37333746156085,simple,32
1041,0.40625,1.0,35709,@DOC_ID_-5073922453415208116@,48.48483643165002,43.121234215137996,simple,32
2381,0.40625,1.0,32100,@DOC_ID_-2081335883615568321@,29.172582626342773,29.278459591046264,simple,32
3060,0.40625,1.0,32115,@DOC_ID_-3191475148767158893@,81.82361250657301,34.765315874773655,simple,32
3800,0.40625,1.0,32110,@DOC_ID_-3471796156323863710@,75.35213925288274,55.48386832983161,simple,32
283,0.375,1.0,32101,@DOC_ID_-3952149172515325408@,80.99871651331584,69.75603041165125,simple,32
464,0.375,1.0,32104,@DOC_ID_3369959950731134123@,103.32499806086223,73.48155527099338,simple,32
2026,0.375,1.0,32106,@DOC_ID_6035361184366570886@,48.29286972681681,49.43167653603461,simple,32
2330,0.375,1.0,40122,@DOC_ID_2516270208789088866@,62.552846590677895,42.48479080918259,simple,32
2519,0.375,1.0,32107,@DOC_ID_138352781929936545@,70.46101967493694,84.26313019166867,simple,32
2540,0.375,1.0,32102,@DOC_ID_3180949643664273199@,74.9627742767334,52.157470312176955,simple,32
