neuron_id,layer,lens,n_queries,active_count,active_rate,a_j_mean_active,a_j_std_active,top1_mode_doc_token_id,top1_mode_frac,gt_n_with_label,hits@1,hits@5,hits@10,hits@20,top1_mode_doc_token_str
631,22,simple,32,32,1.0,231.6574363708496,56.2924741091661,32120,1.0,0,0,0,0,0,@DOC_ID_-1374932068194623395@
1934,22,simple,32,22,0.6875,145.02572285045278,82.22910675940324,32954,1.0,0,0,0,0,0,@DOC_ID_-2038038474043772520@
3177,22,simple,32,19,0.59375,66.06461685582211,43.05192686385928,32116,1.0,0,0,0,0,0,@DOC_ID_3600692813210463538@
1419,22,simple,32,18,0.5625,53.93231338924832,31.241375181143972,35127,1.0,0,0,0,0,0,@DOC_ID_-5087815032692832740@
3150,22,simple,32,17,0.53125,148.76757857378792,154.87438482627545,32954,1.0,0,0,0,0,0,@DOC_ID_-2038038474043772520@
3198,22,simple,32,17,0.53125,76.31342988855698,61.78609276000686,40511,1.0,0,0,0,0,0,@DOC_ID_-1950985663475490940@
3009,22,simple,32,16,0.5,65.7667296230793,69.04920395559886,32120,1.0,0,0,0,0,0,@DOC_ID_-1374932068194623395@
144,22,simple,32,15,0.46875,57.32445576985677,41.736616547346976,38111,1.0,0,0,0,0,0,@DOC_ID_-8382931453554402401@
2162,22,simple,32,15,0.46875,62.82036870320638,40.60691041165324,32100,1.0,0,0,0,0,0,@DOC_ID_-2081335883615568321@
2908,22,simple,32,15,0.46875,79.08026415506998,62.61315803217609,35847,1.0,0,0,0,0,0,@DOC_ID_6955947243073908765@
690,22,simple,32,14,0.4375,44.85673182351248,31.03708177416319,32102,1.0,0,0,0,0,0,@DOC_ID_3180949643664273199@
874,22,simple,32,14,0.4375,64.12562356676374,45.13106462761106,32104,1.0,0,0,0,0,0,@DOC_ID_3369959950731134123@
2198,22,simple,32,14,0.4375,91.10974243709019,68.93563946818495,32100,1.0,0,0,0,0,0,@DOC_ID_-2081335883615568321@
2383,22,simple,32,14,0.4375,61.79737976619175,42.956192660534576,32101,1.0,0,0,0,0,0,@DOC_ID_-3952149172515325408@
3902,22,simple,32,14,0.4375,40.33228356497629,36.37333746156085,32104,1.0,0,0,0,0,0,@DOC_ID_3369959950731134123@
1041,22,simple,32,13,0.40625,48.48483643165002,43.121234215137996,35709,1.0,0,0,0,0,0,@DOC_ID_-5073922453415208116@
2381,22,simple,32,13,0.40625,29.172582626342773,29.278459591046264,32100,1.0,0,0,0,0,0,@DOC_ID_-2081335883615568321@
3060,22,simple,32,13,0.40625,81.82361250657301,34.765315874773655,32115,1.0,0,0,0,0,0,@DOC_ID_-3191475148767158893@
3800,22,simple,32,13,0.40625,75.35213925288274,55.48386832983161,32110,1.0,0,0,0,0,0,@DOC_ID_-3471796156323863710@
283,22,simple,32,12,0.375,80.99871651331584,69.75603041165125,32101,1.0,0,0,0,0,0,@DOC_ID_-3952149172515325408@
464,22,simple,32,12,0.375,103.32499806086223,73.48155527099338,32104,1.0,0,0,0,0,0,@DOC_ID_3369959950731134123@
2026,22,simple,32,12,0.375,48.29286972681681,49.43167653603461,32106,1.0,0,0,0,0,0,@DOC_ID_6035361184366570886@
2330,22,simple,32,12,0.375,62.552846590677895,42.48479080918259,40122,1.0,0,0,0,0,0,@DOC_ID_2516270208789088866@
2519,22,simple,32,12,0.375,70.46101967493694,84.26313019166867,32107,1.0,0,0,0,0,0,@DOC_ID_138352781929936545@
2540,22,simple,32,12,0.375,74.9627742767334,52.157470312176955,32102,1.0,0,0,0,0,0,@DOC_ID_3180949643664273199@
2543,22,simple,32,12,0.375,58.10405282179514,52.04804673007264,39159,1.0,0,0,0,0,0,@DOC_ID_-8764335910784610813@
3262,22,simple,32,12,0.375,50.619462966918945,29.72913893051122,34242,1.0,0,0,0,0,0,@DOC_ID_8107960231928675746@
