neuron_id,active_rate,top1_mode_frac,top1_mode_doc_token_id,top1_mode_doc_token_str,a_j_mean_active,a_j_std_active,lens,n_queries
2260,0.65625,1.0,32104,@DOC_ID_3369959950731134123@,28.75918987819127,19.977624097830976,simple,32
1766,0.59375,1.0,38895,@DOC_ID_-2142175725841020015@,24.3089209606773,17.52044728992783,simple,32
1069,0.4375,1.0,32120,@DOC_ID_-1374932068194623395@,18.827228307724,17.045488233227083,simple,32
1458,0.4375,1.0,41071,@DOC_ID_47340370008605574@,25.395135198320663,22.124067546505916,simple,32
711,0.40625,1.0,32110,@DOC_ID_-3471796156323863710@,40.37666790301983,37.29228950757614,simple,32
2246,0.40625,1.0,35639,@DOC_ID_4601451507237984720@,36.86841722635123,25.838160327204076,simple,32
2301,0.40625,1.0,32113,@DOC_ID_-6610224977170980268@,15.48664036163917,10.594435216782962,simple,32
8,0.375,1.0,32104,@DOC_ID_3369959950731134123@,22.19563678900401,28.800874393690208,simple,32
1396,0.375,1.0,33359,@DOC_ID_-7959965023171014396@,20.885781327883404,14.49141222051601,simple,32
1677,0.375,1.0,32101,@DOC_ID_-3952149172515325408@,29.60779603322347,29.876272891270816,simple,32
2724,0.375,1.0,35207,@DOC_ID_-7223890153795235895@,23.9560892979304,22.691853417643124,simple,32
3085,0.375,1.0,32104,@DOC_ID_3369959950731134123@,28.613387664159138,16.364120841072513,simple,32
3140,0.375,1.0,41579,@DOC_ID_-6982991192528081677@,18.05095601081848,12.116252287345528,simple,32
444,0.34375,1.0,33553,@DOC_ID_-1301734827449700840@,34.651924480091445,32.67484094790613,simple,32
1476,0.34375,1.0,34252,@DOC_ID_-7076249053384511528@,33.21794128417969,24.779648304987326,simple,32
2513,0.34375,1.0,33886,@DOC_ID_1909396784769680020@,33.42485822330821,32.698611244725605,simple,32
3149,0.34375,1.0,32104,@DOC_ID_3369959950731134123@,19.222676450555976,14.208182162769573,simple,32
3854,0.34375,1.0,32105,@DOC_ID_6328671855929848793@,27.171273838390004,23.898274725474998,simple,32
1,0.3125,1.0,39583,@DOC_ID_-62427730610689591@,30.575522232055665,27.469517072945866,simple,32
86,0.3125,1.0,32102,@DOC_ID_3180949643664273199@,42.371702003479,25.797499933096564,simple,32
492,0.3125,1.0,37430,@DOC_ID_-3765443740472444718@,24.671067190170287,16.678867249317378,simple,32
1474,0.3125,1.0,32122,@DOC_ID_8148266614370990423@,25.20424642562866,18.856873115239484,simple,32
1897,0.3125,1.0,32102,@DOC_ID_3180949643664273199@,26.416734075546266,22.77335238451498,simple,32
2168,0.3125,1.0,32113,@DOC_ID_-6610224977170980268@,29.63707661628723,21.361969426320357,simple,32
2255,0.3125,1.0,32107,@DOC_ID_138352781929936545@,42.83605818748474,27.507634920840047,simple,32
