neuron_id,layer,lens,n_queries,active_count,active_rate,a_j_mean_active,a_j_std_active,top1_mode_doc_token_id,top1_mode_frac,gt_n_with_label,hits@1,hits@5,hits@10,hits@20,top1_mode_doc_token_str
556,20,simple,32,29,0.90625,18.759680846641803,12.937517019845977,32116,1.0,0,0,0,0,0,@DOC_ID_3600692813210463538@
3317,20,simple,32,27,0.84375,38.097306145562065,32.789281306685524,32104,1.0,0,0,0,0,0,@DOC_ID_3369959950731134123@
3891,20,simple,32,27,0.84375,55.63354647601092,33.92258143161683,32102,1.0,0,0,0,0,0,@DOC_ID_3180949643664273199@
548,20,simple,32,19,0.59375,33.126725472901995,23.38250160828332,32121,1.0,0,0,0,0,0,@DOC_ID_2410183720845572781@
1244,20,simple,32,17,0.53125,22.70879638896269,14.333414811935073,32126,1.0,0,0,0,0,0,@DOC_ID_-8201001537442035511@
1465,20,simple,32,16,0.5,29.337598085403442,27.729533679844405,32113,1.0,0,0,0,0,0,@DOC_ID_-6610224977170980268@
3607,20,simple,32,16,0.5,35.46111637353897,22.092730853644802,32108,1.0,0,0,0,0,0,@DOC_ID_7402252165412431758@
3859,20,simple,32,16,0.5,23.552484273910522,20.911138514249714,32109,1.0,0,0,0,0,0,@DOC_ID_-2644154875949523750@
444,20,simple,32,15,0.46875,24.227676995595296,20.372712655170666,36368,1.0,0,0,0,0,0,@DOC_ID_-2330674702066635479@
3337,20,simple,32,15,0.46875,44.78079687754313,21.10498849753689,32124,1.0,0,0,0,0,0,@DOC_ID_-7272129313675735420@
3415,20,simple,32,15,0.46875,21.651201470692953,17.737874993020952,32121,1.0,0,0,0,0,0,@DOC_ID_2410183720845572781@
153,20,simple,32,14,0.4375,31.688309907913208,24.022518372363713,38793,1.0,0,0,0,0,0,@DOC_ID_-7296011143181119624@
937,20,simple,32,14,0.4375,33.677509375980925,22.837815549199583,32101,1.0,0,0,0,0,0,@DOC_ID_-3952149172515325408@
1709,20,simple,32,13,0.40625,45.5937866797814,45.55289592777547,32101,1.0,0,0,0,0,0,@DOC_ID_-3952149172515325408@
2663,20,simple,32,13,0.40625,29.834527529202976,20.040424067964242,32123,1.0,0,0,0,0,0,@DOC_ID_8528128027644832489@
2714,20,simple,32,13,0.40625,28.342428940993088,19.890093503463532,32105,1.0,0,0,0,0,0,@DOC_ID_6328671855929848793@
209,20,simple,32,12,0.375,14.553354998429617,11.836242097475242,40540,1.0,0,0,0,0,0,@DOC_ID_-4929770929796268907@
339,20,simple,32,12,0.375,30.501988013585407,24.318585398987363,41708,1.0,0,0,0,0,0,@DOC_ID_-4803386743794261488@
394,20,simple,32,12,0.375,42.542662382125854,30.286857600314512,32106,1.0,0,0,0,0,0,@DOC_ID_6035361184366570886@
753,20,simple,32,12,0.375,29.661126534144085,23.420130114410245,39671,1.0,0,0,0,0,0,@DOC_ID_2344679953208894129@
812,20,simple,32,12,0.375,20.817196528116863,12.746473938872688,37047,1.0,0,0,0,0,0,@DOC_ID_7669525691145676782@
870,20,simple,32,12,0.375,36.03204456965128,24.411676981159733,32104,1.0,0,0,0,0,0,@DOC_ID_3369959950731134123@
892,20,simple,32,12,0.375,25.195226271947224,21.14305416106644,37295,1.0,0,0,0,0,0,@DOC_ID_-8871202975462535714@
2315,20,simple,32,12,0.375,36.87609279155731,26.87761282162254,32117,1.0,0,0,0,0,0,@DOC_ID_-4636347768352449438@
2772,20,simple,32,12,0.375,36.60936148961385,38.56417529618686,36277,1.0,0,0,0,0,0,@DOC_ID_-7653322864417693653@
3574,20,simple,32,12,0.375,30.01194683710734,24.20624476507858,40316,1.0,0,0,0,0,0,@DOC_ID_-2112691997365137136@
537,20,simple,32,11,0.34375,31.949907996437766,21.286158267518907,38750,1.0,0,0,0,0,0,@DOC_ID_6129040534999536054@
1099,20,simple,32,11,0.34375,25.615976420315828,38.861441029354054,32101,1.0,0,0,0,0,0,@DOC_ID_-3952149172515325408@
1297,20,simple,32,11,0.34375,51.24079790982333,47.63760767122742,32127,1.0,0,0,0,0,0,@DOC_ID_4385255127522661901@
