neuron_id,active_rate,top1_mode_frac,top1_mode_doc_token_id,top1_mode_doc_token_str,a_j_mean_active,a_j_std_active,lens,n_queries
556,0.90625,1.0,32116,@DOC_ID_3600692813210463538@,18.759680846641803,12.937517019845977,simple,32
3317,0.84375,1.0,32104,@DOC_ID_3369959950731134123@,38.097306145562065,32.789281306685524,simple,32
3891,0.84375,1.0,32102,@DOC_ID_3180949643664273199@,55.63354647601092,33.92258143161683,simple,32
548,0.59375,1.0,32121,@DOC_ID_2410183720845572781@,33.126725472901995,23.38250160828332,simple,32
1244,0.53125,1.0,32126,@DOC_ID_-8201001537442035511@,22.70879638896269,14.333414811935073,simple,32
1465,0.5,1.0,32113,@DOC_ID_-6610224977170980268@,29.337598085403442,27.729533679844405,simple,32
3607,0.5,1.0,32108,@DOC_ID_7402252165412431758@,35.46111637353897,22.092730853644802,simple,32
3859,0.5,1.0,32109,@DOC_ID_-2644154875949523750@,23.552484273910522,20.911138514249714,simple,32
444,0.46875,1.0,36368,@DOC_ID_-2330674702066635479@,24.227676995595296,20.372712655170666,simple,32
3337,0.46875,1.0,32124,@DOC_ID_-7272129313675735420@,44.78079687754313,21.10498849753689,simple,32
3415,0.46875,1.0,32121,@DOC_ID_2410183720845572781@,21.651201470692953,17.737874993020952,simple,32
153,0.4375,1.0,38793,@DOC_ID_-7296011143181119624@,31.688309907913208,24.022518372363713,simple,32
937,0.4375,1.0,32101,@DOC_ID_-3952149172515325408@,33.677509375980925,22.837815549199583,simple,32
1709,0.40625,1.0,32101,@DOC_ID_-3952149172515325408@,45.5937866797814,45.55289592777547,simple,32
2663,0.40625,1.0,32123,@DOC_ID_8528128027644832489@,29.834527529202976,20.040424067964242,simple,32
2714,0.40625,1.0,32105,@DOC_ID_6328671855929848793@,28.342428940993088,19.890093503463532,simple,32
209,0.375,1.0,40540,@DOC_ID_-4929770929796268907@,14.553354998429617,11.836242097475242,simple,32
339,0.375,1.0,41708,@DOC_ID_-4803386743794261488@,30.501988013585407,24.318585398987363,simple,32
394,0.375,1.0,32106,@DOC_ID_6035361184366570886@,42.542662382125854,30.286857600314512,simple,32
753,0.375,1.0,39671,@DOC_ID_2344679953208894129@,29.661126534144085,23.420130114410245,simple,32
812,0.375,1.0,37047,@DOC_ID_7669525691145676782@,20.817196528116863,12.746473938872688,simple,32
870,0.375,1.0,32104,@DOC_ID_3369959950731134123@,36.03204456965128,24.411676981159733,simple,32
892,0.375,1.0,37295,@DOC_ID_-8871202975462535714@,25.195226271947224,21.14305416106644,simple,32
2315,0.375,1.0,32117,@DOC_ID_-4636347768352449438@,36.87609279155731,26.87761282162254,simple,32
2772,0.375,1.0,36277,@DOC_ID_-7653322864417693653@,36.60936148961385,38.56417529618686,simple,32
