neuron_id,layer,lens,n_queries,active_count,active_rate,a_j_mean_active,a_j_std_active,top1_mode_doc_token_id,top1_mode_frac,gt_n_with_label,hits@1,hits@5,hits@10,hits@20,top1_mode_doc_token_str
2156,23,simple,32,32,1.0,320.2489638328552,62.914136129236105,32104,1.0,0,0,0,0,0,@DOC_ID_3369959950731134123@
4093,23,simple,32,32,1.0,187.44231724739075,54.163780039404,32115,1.0,0,0,0,0,0,@DOC_ID_-3191475148767158893@
2507,23,simple,32,31,0.96875,138.4688670865951,96.28563679989281,32104,1.0,0,0,0,0,0,@DOC_ID_3369959950731134123@
2614,23,simple,32,31,0.96875,102.10243969578897,49.06456471575598,32104,1.0,0,0,0,0,0,@DOC_ID_3369959950731134123@
401,23,simple,32,29,0.90625,139.51589209457924,66.97513892978604,32117,1.0,0,0,0,0,0,@DOC_ID_-4636347768352449438@
991,23,simple,32,29,0.90625,97.72510107632341,50.486060973267776,32103,1.0,0,0,0,0,0,@DOC_ID_5450119816198102820@
1566,23,simple,32,28,0.875,117.70354189191546,57.150621547173934,32104,1.0,0,0,0,0,0,@DOC_ID_3369959950731134123@
4034,23,simple,32,28,0.875,100.45508984157017,57.151611828722515,32103,1.0,0,0,0,0,0,@DOC_ID_5450119816198102820@
706,23,simple,32,27,0.84375,115.09764183892145,71.44361920269684,32111,1.0,0,0,0,0,0,@DOC_ID_6070333273965940514@
2978,23,simple,32,25,0.78125,72.37572303771972,50.32014805081719,32115,1.0,0,0,0,0,0,@DOC_ID_-3191475148767158893@
839,23,simple,32,24,0.75,114.035453637441,76.84677981574517,32121,1.0,0,0,0,0,0,@DOC_ID_2410183720845572781@
144,23,simple,32,23,0.71875,77.82720528478208,61.124427833883296,32114,1.0,0,0,0,0,0,@DOC_ID_1551018314916421217@
2867,23,simple,32,20,0.625,78.7552942276001,72.62848463171558,32105,1.0,0,0,0,0,0,@DOC_ID_6328671855929848793@
291,23,simple,32,15,0.46875,85.49696324666341,79.3441764700203,40542,1.0,0,0,0,0,0,@DOC_ID_-5600998253391594729@
1923,23,simple,32,15,0.46875,142.65555419921876,134.20401819283626,32103,1.0,0,0,0,0,0,@DOC_ID_5450119816198102820@
3784,23,simple,32,15,0.46875,71.81455713907877,55.60164183734865,33872,1.0,0,0,0,0,0,@DOC_ID_352339248408710694@
3929,23,simple,32,15,0.46875,60.84931310017904,31.778366270399648,32954,1.0,0,0,0,0,0,@DOC_ID_-2038038474043772520@
2647,23,simple,32,14,0.4375,78.08580807277134,54.03110822568751,37958,1.0,0,0,0,0,0,@DOC_ID_8437810444106831367@
289,23,simple,32,13,0.40625,75.1209619962252,61.44164268391989,32114,1.0,0,0,0,0,0,@DOC_ID_1551018314916421217@
425,23,simple,32,13,0.40625,79.75974567119891,46.211250192006474,37020,1.0,0,0,0,0,0,@DOC_ID_-3510377225734295097@
630,23,simple,32,13,0.40625,88.9555423443134,95.52621275370143,32803,1.0,0,0,0,0,0,@DOC_ID_-1250445077095693661@
852,23,simple,32,13,0.40625,147.6129655104417,104.62567283604443,35800,1.0,0,0,0,0,0,@DOC_ID_6605915037418355882@
2637,23,simple,32,13,0.40625,87.91289872389574,65.98861732522758,32119,1.0,0,0,0,0,0,@DOC_ID_1752410184363595618@
3329,23,simple,32,13,0.40625,67.97400709298941,52.224595914085484,37607,1.0,0,0,0,0,0,@DOC_ID_6289097935631350762@
3398,23,simple,32,13,0.40625,156.5620404756986,101.98281458583214,38015,1.0,0,0,0,0,0,@DOC_ID_5919042952708314091@
3537,23,simple,32,13,0.40625,69.90990447998047,63.70156410248277,35176,1.0,0,0,0,0,0,@DOC_ID_-2572515104701672925@
502,23,simple,32,12,0.375,71.8178858757019,60.79327100982929,32105,1.0,0,0,0,0,0,@DOC_ID_6328671855929848793@
