neuron_id,active_rate,top1_mode_frac,top1_mode_doc_token_id,top1_mode_doc_token_str,a_j_mean_active,a_j_std_active,lens,n_queries
790,1.0,1.0,35492,@DOC_ID_539162482718143183@,44.80061587691307,19.945807653484973,simple,32
56,0.8125,1.0,34549,@DOC_ID_1797392478277520554@,76.63997851885281,42.28390608004103,simple,32
1049,0.8125,1.0,32116,@DOC_ID_3600692813210463538@,17.243585659907414,12.672291065698715,simple,32
707,0.6875,1.0,32113,@DOC_ID_-6610224977170980268@,27.435868588360872,20.347484708490168,simple,32
1184,0.6875,1.0,34011,@DOC_ID_4426815355521850590@,38.58736354654486,27.420478982109138,simple,32
2622,0.625,1.0,32124,@DOC_ID_-7272129313675735420@,46.21680865287781,34.07272800969938,simple,32
3313,0.59375,1.0,32104,@DOC_ID_3369959950731134123@,55.90525069989656,40.783159072072124,simple,32
2800,0.53125,1.0,38984,@DOC_ID_7351844234467259950@,42.35777546377743,28.187527034259148,simple,32
1772,0.5,1.0,41922,@DOC_ID_-6322840265851743016@,38.00511658191681,30.76709683355717,simple,32
3126,0.5,1.0,37865,@DOC_ID_4215253601702449293@,36.4200541973114,31.771168995220933,simple,32
2620,0.46875,1.0,36277,@DOC_ID_-7653322864417693653@,44.9308998743693,37.961972441578325,simple,32
742,0.4375,1.0,32100,@DOC_ID_-2081335883615568321@,55.962346758161274,55.871696369174884,simple,32
1598,0.4375,1.0,32119,@DOC_ID_1752410184363595618@,51.317411354609895,36.4054145888018,simple,32
2441,0.4375,1.0,38776,@DOC_ID_-4299617844754748334@,45.716601031167166,41.88802161788267,simple,32
3353,0.4375,1.0,32118,@DOC_ID_-2509309753176255993@,59.3798577444894,33.61175933542959,simple,32
3707,0.4375,1.0,32532,@DOC_ID_-8874460016259490982@,52.89479841504778,47.660583352763624,simple,32
3920,0.4375,1.0,32118,@DOC_ID_-2509309753176255993@,40.88514355250767,27.435137617612146,simple,32
3957,0.4375,1.0,32112,@DOC_ID_4914981770483543061@,54.12678125926426,49.38293822685761,simple,32
517,0.40625,1.0,32118,@DOC_ID_-2509309753176255993@,56.198561961834244,47.09533798246957,simple,32
774,0.40625,1.0,32126,@DOC_ID_-8201001537442035511@,31.90569774921124,27.995681211031876,simple,32
910,0.40625,1.0,39438,@DOC_ID_-2158751344753280147@,59.50968823066125,44.14409677097388,simple,32
377,0.375,1.0,39420,@DOC_ID_-2586596148752718055@,29.825899600982666,22.9872728300461,simple,32
428,0.375,1.0,32127,@DOC_ID_4385255127522661901@,27.62798484166463,18.315325737563498,simple,32
627,0.375,1.0,41163,@DOC_ID_2075983400652387259@,21.34665075937907,13.699504853537327,simple,32
685,0.375,1.0,32954,@DOC_ID_-2038038474043772520@,37.89348300298055,37.107609611626344,simple,32
