neuron_id,layer,lens,n_queries,active_count,active_rate,a_j_mean_active,a_j_std_active,top1_mode_doc_token_id,top1_mode_frac,gt_n_with_label,hits@1,hits@5,hits@10,hits@20,top1_mode_doc_token_str
3276,18,simple,32,29,0.90625,30.66936994421071,19.19209943128613,41487,1.0,0,0,0,0,0,@DOC_ID_5533830247117131523@
2279,18,simple,32,15,0.46875,20.270138422648113,16.037331223160134,35838,1.0,0,0,0,0,0,@DOC_ID_1074837804365915475@
2888,18,simple,32,14,0.4375,29.8730308668954,31.57845860149021,32102,1.0,0,0,0,0,0,@DOC_ID_3180949643664273199@
2491,18,simple,32,13,0.40625,19.049151970789982,11.782975061819704,32101,1.0,0,0,0,0,0,@DOC_ID_-3952149172515325408@
24,18,simple,8,3,0.375,18.204302151997883,8.037970564928663,32113,1.0,0,0,0,0,0,@DOC_ID_-6610224977170980268@
216,18,simple,32,12,0.375,31.090381622314453,22.216439149474304,34783,1.0,0,0,0,0,0,@DOC_ID_5521787839373505850@
440,18,simple,32,12,0.375,38.38762958844503,19.94530441432419,34261,1.0,0,0,0,0,0,@DOC_ID_-7230881491063309976@
1203,18,simple,32,12,0.375,23.709887901941936,19.32374757410433,34486,1.0,0,0,0,0,0,@DOC_ID_2083044886753908584@
1610,18,simple,32,12,0.375,10.864006161689758,6.689078333172603,32115,1.0,0,0,0,0,0,@DOC_ID_-3191475148767158893@
2218,18,simple,32,12,0.375,15.107021749019623,13.09786110465545,36561,1.0,0,0,0,0,0,@DOC_ID_-6669865541044619894@
295,18,simple,32,11,0.34375,29.15939515287226,18.92893224030307,35990,1.0,0,0,0,0,0,@DOC_ID_-3914274805354767746@
1778,18,simple,32,11,0.34375,13.810108098116787,11.577886105340795,32116,1.0,0,0,0,0,0,@DOC_ID_3600692813210463538@
1783,18,simple,32,11,0.34375,21.171727180480957,14.141717700478464,32108,1.0,0,0,0,0,0,@DOC_ID_7402252165412431758@
1854,18,simple,32,11,0.34375,12.283118724822998,10.617137280488333,39179,1.0,0,0,0,0,0,@DOC_ID_5097660524887390609@
2817,18,simple,32,11,0.34375,21.6703614321622,25.033211804704774,32104,1.0,0,0,0,0,0,@DOC_ID_3369959950731134123@
2892,18,simple,32,11,0.34375,25.03246259689331,16.883963590231062,32715,1.0,0,0,0,0,0,@DOC_ID_5402997770120249191@
308,18,simple,32,10,0.3125,25.947605991363524,17.67404008923133,35293,1.0,0,0,0,0,0,@DOC_ID_-6842642075378543750@
413,18,simple,32,10,0.3125,19.130091547966003,21.19693588049484,33262,1.0,0,0,0,0,0,@DOC_ID_-3278042102197863362@
472,18,simple,32,10,0.3125,20.82439594268799,25.930985127872944,32117,1.0,0,0,0,0,0,@DOC_ID_-4636347768352449438@
863,18,simple,32,10,0.3125,17.52397494316101,9.320355250945543,34012,1.0,0,0,0,0,0,@DOC_ID_-2375647771766162958@
1248,18,simple,32,10,0.3125,15.005688238143922,16.261991699255297,32106,1.0,0,0,0,0,0,@DOC_ID_6035361184366570886@
2562,18,simple,32,10,0.3125,19.87264566421509,18.035549487825826,38214,1.0,0,0,0,0,0,@DOC_ID_7430442821177539535@
3445,18,simple,32,10,0.3125,22.803433179855347,20.06105266338669,32121,1.0,0,0,0,0,0,@DOC_ID_2410183720845572781@
3733,18,simple,32,10,0.3125,20.553123450279237,19.163821554969097,38979,1.0,0,0,0,0,0,@DOC_ID_5017910100247109513@
3852,18,simple,32,10,0.3125,24.327885818481445,25.774598363976178,36047,1.0,0,0,0,0,0,@DOC_ID_-4415480885049579687@
3894,18,simple,32,10,0.3125,24.2512375831604,25.5306325591604,41767,1.0,0,0,0,0,0,@DOC_ID_-8411218336314702052@
4049,18,simple,32,10,0.3125,12.758722114562989,8.912913073451973,32106,1.0,0,0,0,0,0,@DOC_ID_6035361184366570886@
4087,18,simple,32,10,0.3125,21.310838603973387,18.946798430936685,32109,1.0,0,0,0,0,0,@DOC_ID_-2644154875949523750@
104,18,simple,32,9,0.28125,14.450641632080078,9.7525681400374,32113,1.0,0,0,0,0,0,@DOC_ID_-6610224977170980268@
255,18,simple,32,9,0.28125,18.380346563127304,15.117314707541258,33845,1.0,0,0,0,0,0,@DOC_ID_8619644827993442675@
292,18,simple,32,9,0.28125,16.530002064175076,9.652956635152961,37217,1.0,0,0,0,0,0,@DOC_ID_-7067231831363714002@
415,18,simple,32,9,0.28125,19.337235768636067,14.02427261981238,33429,1.0,0,0,0,0,0,@DOC_ID_-7600142800202301256@
641,18,simple,32,9,0.28125,24.05877219306098,10.27374533732651,39331,1.0,0,0,0,0,0,@DOC_ID_-5269087440017689730@
1253,18,simple,32,9,0.28125,13.805407418145073,12.973487267396397,32105,1.0,0,0,0,0,0,@DOC_ID_6328671855929848793@
1541,18,simple,32,9,0.28125,21.41775279574924,12.477064815862544,32112,1.0,0,0,0,0,0,@DOC_ID_4914981770483543061@
1751,18,simple,32,9,0.28125,16.524994108412002,9.350744571907441,34862,1.0,0,0,0,0,0,@DOC_ID_-120199102902258533@
1797,18,simple,32,9,0.28125,11.572970416810778,8.670490785957638,32127,1.0,0,0,0,0,0,@DOC_ID_4385255127522661901@
1824,18,simple,32,9,0.28125,27.123710844251846,11.841085996529033,36241,1.0,0,0,0,0,0,@DOC_ID_8273489681279382412@
1993,18,simple,32,9,0.28125,21.097215440538193,11.752869354926,32112,1.0,0,0,0,0,0,@DOC_ID_4914981770483543061@
2130,18,simple,32,9,0.28125,20.169235282474094,24.140361181397186,32108,1.0,0,0,0,0,0,@DOC_ID_7402252165412431758@
2440,18,simple,32,9,0.28125,21.59781403011746,11.547322029769433,32108,1.0,0,0,0,0,0,@DOC_ID_7402252165412431758@
2617,18,simple,32,9,0.28125,11.276399082607693,10.611694848800942,36387,1.0,0,0,0,0,0,@DOC_ID_70179566487984462@
2647,18,simple,32,9,0.28125,31.32019302580092,24.467410539260513,37024,1.0,0,0,0,0,0,@DOC_ID_-4084321311132989998@
2822,18,simple,32,9,0.28125,18.657249132792156,18.46612599062845,32101,1.0,0,0,0,0,0,@DOC_ID_-3952149172515325408@
2974,18,simple,32,9,0.28125,20.79608048333062,12.95183378312611,32200,1.0,0,0,0,0,0,@DOC_ID_6429261651583349231@
3150,18,simple,32,9,0.28125,27.808098528120254,10.873054324535438,35709,1.0,0,0,0,0,0,@DOC_ID_-5073922453415208116@
3740,18,simple,32,9,0.28125,15.57323212093777,11.379480046457527,32112,1.0,0,0,0,0,0,@DOC_ID_4914981770483543061@
3772,18,simple,32,9,0.28125,26.85107798046536,16.59714362867323,33552,1.0,0,0,0,0,0,@DOC_ID_-7130519097639486434@
4039,18,simple,32,9,0.28125,22.707643614874947,18.327066319632706,38544,1.0,0,0,0,0,0,@DOC_ID_-658572262324218274@
20,18,simple,8,2,0.25,32.602272033691406,10.251203306764527,34097,1.0,0,0,0,0,0,@DOC_ID_-6432460518842898792@
27,18,simple,8,2,0.25,17.233129501342773,10.928560482048567,32105,1.0,0,0,0,0,0,@DOC_ID_6328671855929848793@
85,18,simple,32,8,0.25,21.37133264541626,15.648865742031214,32116,1.0,0,0,0,0,0,@DOC_ID_3600692813210463538@
269,18,simple,32,8,0.25,11.130768597126007,7.143609799820911,32101,1.0,0,0,0,0,0,@DOC_ID_-3952149172515325408@
398,18,simple,32,8,0.25,20.18165472149849,23.009049571808568,41904,1.0,0,0,0,0,0,@DOC_ID_-26096126379171012@
447,18,simple,32,8,0.25,18.16446280479431,11.617500807150464,37319,1.0,0,0,0,0,0,@DOC_ID_2555269145571475100@
715,18,simple,32,8,0.25,23.30350089073181,23.986492188116177,39492,1.0,0,0,0,0,0,@DOC_ID_-3350461630601796940@
772,18,simple,32,8,0.25,19.7430819272995,10.19422590685911,35840,1.0,0,0,0,0,0,@DOC_ID_-2842834902214755468@
914,18,simple,32,8,0.25,25.584568738937378,15.082352042570752,32666,1.0,0,0,0,0,0,@DOC_ID_574180595927893031@
946,18,simple,32,8,0.25,24.301948189735413,20.635283472974947,32127,1.0,0,0,0,0,0,@DOC_ID_4385255127522661901@
1005,18,simple,32,8,0.25,19.58826470375061,12.059041446056247,32122,1.0,0,0,0,0,0,@DOC_ID_8148266614370990423@
1060,18,simple,32,8,0.25,28.90876579284668,32.53978668225124,32118,1.0,0,0,0,0,0,@DOC_ID_-2509309753176255993@
1155,18,simple,32,8,0.25,31.238000869750977,31.579362670497197,34594,1.0,0,0,0,0,0,@DOC_ID_-8124830424468967408@
1167,18,simple,32,8,0.25,12.894699335098267,10.272954349804701,34414,1.0,0,0,0,0,0,@DOC_ID_-8592836487524958393@
1326,18,simple,32,8,0.25,22.990790009498596,18.776378477054973,32106,1.0,0,0,0,0,0,@DOC_ID_6035361184366570886@
1434,18,simple,32,8,0.25,25.96665495634079,17.66088520298841,32113,1.0,0,0,0,0,0,@DOC_ID_-6610224977170980268@
1436,18,simple,32,8,0.25,14.199212968349457,14.879008592005963,32316,1.0,0,0,0,0,0,@DOC_ID_8937462478113564442@
1466,18,simple,32,8,0.25,16.453277230262756,12.823430183296828,32111,1.0,0,0,0,0,0,@DOC_ID_6070333273965940514@
1530,18,simple,32,8,0.25,16.00510597229004,11.182395206047401,32116,1.0,0,0,0,0,0,@DOC_ID_3600692813210463538@
1582,18,simple,32,8,0.25,11.997682929039001,10.278042872693131,32127,1.0,0,0,0,0,0,@DOC_ID_4385255127522661901@
