neuron_id,layer,lens,n_queries,active_count,active_rate,a_j_mean_active,a_j_std_active,top1_mode_doc_token_id,top1_mode_frac,gt_n_with_label,hits@1,hits@5,hits@10,hits@20,top1_mode_doc_token_str
790,21,simple,32,32,1.0,44.80061587691307,19.945807653484973,35492,1.0,0,0,0,0,0,@DOC_ID_539162482718143183@
56,21,simple,32,26,0.8125,76.63997851885281,42.28390608004103,34549,1.0,0,0,0,0,0,@DOC_ID_1797392478277520554@
1049,21,simple,32,26,0.8125,17.243585659907414,12.672291065698715,32116,1.0,0,0,0,0,0,@DOC_ID_3600692813210463538@
707,21,simple,32,22,0.6875,27.435868588360872,20.347484708490168,32113,1.0,0,0,0,0,0,@DOC_ID_-6610224977170980268@
1184,21,simple,32,22,0.6875,38.58736354654486,27.420478982109138,34011,1.0,0,0,0,0,0,@DOC_ID_4426815355521850590@
2622,21,simple,32,20,0.625,46.21680865287781,34.07272800969938,32124,1.0,0,0,0,0,0,@DOC_ID_-7272129313675735420@
3313,21,simple,32,19,0.59375,55.90525069989656,40.783159072072124,32104,1.0,0,0,0,0,0,@DOC_ID_3369959950731134123@
2800,21,simple,32,17,0.53125,42.35777546377743,28.187527034259148,38984,1.0,0,0,0,0,0,@DOC_ID_7351844234467259950@
1772,21,simple,32,16,0.5,38.00511658191681,30.76709683355717,41922,1.0,0,0,0,0,0,@DOC_ID_-6322840265851743016@
3126,21,simple,32,16,0.5,36.4200541973114,31.771168995220933,37865,1.0,0,0,0,0,0,@DOC_ID_4215253601702449293@
2620,21,simple,32,15,0.46875,44.9308998743693,37.961972441578325,36277,1.0,0,0,0,0,0,@DOC_ID_-7653322864417693653@
742,21,simple,32,14,0.4375,55.962346758161274,55.871696369174884,32100,1.0,0,0,0,0,0,@DOC_ID_-2081335883615568321@
1598,21,simple,32,14,0.4375,51.317411354609895,36.4054145888018,32119,1.0,0,0,0,0,0,@DOC_ID_1752410184363595618@
