neuron_id,active_rate,top1_mode_frac,top1_mode_doc_token_id,top1_mode_doc_token_str,a_j_mean_active,a_j_std_active,lens,n_queries
2156,1.0,1.0,32104,@DOC_ID_3369959950731134123@,320.2489638328552,62.914136129236105,simple,32
4093,1.0,1.0,32115,@DOC_ID_-3191475148767158893@,187.44231724739075,54.163780039404,simple,32
2507,0.96875,1.0,32104,@DOC_ID_3369959950731134123@,138.4688670865951,96.28563679989281,simple,32
2614,0.96875,1.0,32104,@DOC_ID_3369959950731134123@,102.10243969578897,49.06456471575598,simple,32
401,0.90625,1.0,32117,@DOC_ID_-4636347768352449438@,139.51589209457924,66.97513892978604,simple,32
991,0.90625,1.0,32103,@DOC_ID_5450119816198102820@,97.72510107632341,50.486060973267776,simple,32
1566,0.875,1.0,32104,@DOC_ID_3369959950731134123@,117.70354189191546,57.150621547173934,simple,32
4034,0.875,1.0,32103,@DOC_ID_5450119816198102820@,100.45508984157017,57.151611828722515,simple,32
706,0.84375,1.0,32111,@DOC_ID_6070333273965940514@,115.09764183892145,71.44361920269684,simple,32
2978,0.78125,1.0,32115,@DOC_ID_-3191475148767158893@,72.37572303771972,50.32014805081719,simple,32
839,0.75,1.0,32121,@DOC_ID_2410183720845572781@,114.035453637441,76.84677981574517,simple,32
144,0.71875,1.0,32114,@DOC_ID_1551018314916421217@,77.82720528478208,61.124427833883296,simple,32
2867,0.625,1.0,32105,@DOC_ID_6328671855929848793@,78.7552942276001,72.62848463171558,simple,32
291,0.46875,1.0,40542,@DOC_ID_-5600998253391594729@,85.49696324666341,79.3441764700203,simple,32
1923,0.46875,1.0,32103,@DOC_ID_5450119816198102820@,142.65555419921876,134.20401819283626,simple,32
3784,0.46875,1.0,33872,@DOC_ID_352339248408710694@,71.81455713907877,55.60164183734865,simple,32
3929,0.46875,1.0,32954,@DOC_ID_-2038038474043772520@,60.84931310017904,31.778366270399648,simple,32
2647,0.4375,1.0,37958,@DOC_ID_8437810444106831367@,78.08580807277134,54.03110822568751,simple,32
289,0.40625,1.0,32114,@DOC_ID_1551018314916421217@,75.1209619962252,61.44164268391989,simple,32
425,0.40625,1.0,37020,@DOC_ID_-3510377225734295097@,79.75974567119891,46.211250192006474,simple,32
630,0.40625,1.0,32803,@DOC_ID_-1250445077095693661@,88.9555423443134,95.52621275370143,simple,32
852,0.40625,1.0,35800,@DOC_ID_6605915037418355882@,147.6129655104417,104.62567283604443,simple,32
2637,0.40625,1.0,32119,@DOC_ID_1752410184363595618@,87.91289872389574,65.98861732522758,simple,32
3329,0.40625,1.0,37607,@DOC_ID_6289097935631350762@,67.97400709298941,52.224595914085484,simple,32
3398,0.40625,1.0,38015,@DOC_ID_5919042952708314091@,156.5620404756986,101.98281458583214,simple,32
