layer,neuron,drop_frac
22,804,0.002
22,665,0.002
19,535,0.002
22,795,0.002
22,797,0.002
22,858,0.002
22,843,0.002
22,844,0.002
22,845,0.002
22,800,0.002
22,780,0.002
22,785,0.002
22,783,0.002
19,348,0.002
22,729,0.002
22,734,0.002
22,742,0.002
22,754,0.002
22,753,0.002
19,338,0.002
22,697,0.002
22,769,0.002
22,690,0.002
22,706,0.002
22,701,0.002
22,700,0.002
19,438,0.002
19,442,0.002
19,469,0.002
19,494,0.002
19,487,0.002
22,781,0.002
19,399,0.002
19,344,0.002
22,585,0.002
22,584,0.002
22,595,0.002
22,594,0.002
22,593,0.002
22,591,0.002
19,366,0.002
22,602,0.002
22,599,0.002
22,613,0.002
22,836,0.002
19,545,0.002
22,555,0.002
22,564,0.002
22,826,0.002
22,560,0.002
22,828,0.002
22,557,0.002
22,830,0.002
22,885,0.002
19,600,0.002
22,886,0.002
22,878,0.002
22,610,0.002
19,457,0.002
19,452,0.002
19,451,0.002
19,446,0.002
19,443,0.002
19,463,0.002
19,290,0.002
19,291,0.002
22,677,0.002
22,673,0.002
22,689,0.002
19,383,0.002
19,274,0.002
19,281,0.002
22,623,0.002
22,635,0.002
22,634,0.002
22,633,0.002
22,651,0.002
22,648,0.002
22,645,0.002
22,644,0.002
19,382,0.002
22,688,0.002
19,211,0.002
22,249,0.002
19,180,0.002
19,184,0.002
22,258,0.002
19,186,0.002
22,194,0.002
22,191,0.002
22,201,0.002
22,199,0.002
22,419,0.002
22,206,0.002
22,204,0.002
22,222,0.002
23,4,0.002
23,6,0.002
22,156,0.002
22,152,0.002
23,10,0.002
22,167,0.002
22,166,0.002
22,177,0.002
22,209,0.002
22,275,0.002
23,36,0.002
22,297,0.002
22,293,0.002
23,27,0.002
22,229,0.002
22,244,0.002
22,237,0.002
22,236,0.002
19,120,0.002
19,905,0.002
19,209,0.002
19,919,0.002
19,131,0.002
19,104,0.002
19,912,0.002
19,910,0.002
19,813,0.002
19,109,0.002
19,802,0.002
19,799,0.002
19,202,0.002
19,823,0.002
19,124,0.002
22,187,0.002
23,88,0.002
23,89,0.002
22,178,0.002
22,125,0.002
22,118,0.002
22,133,0.002
22,141,0.002
19,1023,0.002
19,1020,0.002
19,1016,0.002
19,959,0.002
19,56,0.002
19,58,0.002
19,62,0.002
19,929,0.002
19,928,0.002
19,926,0.002
19,939,0.002
19,132,0.002
22,140,0.002
22,137,0.002
22,134,0.002
19,74,0.002
19,956,0.002
23,65,0.002
19,951,0.002
23,67,0.002
23,54,0.002
23,55,0.002
23,58,0.002
23,60,0.002
23,45,0.002
19,967,0.002
23,48,0.002
22,171,0.002
19,867,0.002
23,39,0.002
23,42,0.002
19,891,0.002
23,43,0.002
19,884,0.002
19,878,0.002
23,100,0.002
23,101,0.002
22,174,0.002
22,173,0.002
23,49,0.002
19,691,0.002
19,689,0.002
19,170,0.002
19,172,0.002
19,710,0.002
19,707,0.002
19,155,0.002
22,392,0.002
22,391,0.002
22,389,0.002
22,388,0.002
22,279,0.002
22,404,0.002
22,403,0.002
22,401,0.002
22,400,0.002
22,397,0.002
22,338,0.002
22,335,0.002
22,334,0.002
22,348,0.002
22,346,0.002
22,345,0.002
22,405,0.002
22,418,0.002
22,982,0.002
22,984,0.002
22,985,0.002
22,427,0.002
22,424,0.002
22,423,0.002
22,441,0.002
22,434,0.002
22,379,0.002
22,373,0.002
19,695,0.002
22,385,0.002
22,384,0.002
22,381,0.002
22,961,0.002
22,964,0.002
22,968,0.002
19,796,0.002
19,787,0.002
22,1016,0.002
19,200,0.002
19,166,0.002
22,974,0.002
19,742,0.002
19,741,0.002
19,254,0.002
22,1018,0.002
19,760,0.002
19,759,0.002
22,1006,0.002
22,1009,0.002
22,322,0.002
22,321,0.002
22,996,0.002
22,363,0.002
22,317,0.002
22,333,0.002
22,331,0.002
22,1000,0.002
22,328,0.002
22,326,0.002
22,325,0.002
23,31,0.002
22,267,0.002
22,266,0.002
22,264,0.002
22,999,0.002
22,360,0.002
22,357,0.002
22,356,0.002
22,369,0.002
22,368,0.002
22,366,0.002
22,365,0.002
22,306,0.002
19,256,0.002
22,304,0.002
22,302,0.002
19,747,0.002
22,298,0.002
22,312,0.002
19,844,0.002
19,835,0.002
19,863,0.002
19,861,0.002
19,265,0.002
19,853,0.002
19,241,0.002
19,243,0.002
19,244,0.002
22,299,0.002
23,816,0.002
20,874,0.002
18,238,0.002
20,631,0.002
21,86,0.002
23,613,0.002
21,88,0.002
20,561,0.002
21,147,0.002
23,710,0.002
20,557,0.002
20,554,0.002
21,152,0.002
20,553,0.002
23,1013,0.002
21,156,0.002
18,335,0.002
20,373,0.002
20,372,0.002
21,142,0.002
21,143,0.002
21,144,0.002
21,145,0.002
21,127,0.002
21,129,0.002
21,131,0.002
21,132,0.002
21,133,0.002
23,907,0.002
21,117,0.002
20,547,0.002
21,112,0.002
18,256,0.002
23,720,0.002
23,653,0.002
18,266,0.002
18,269,0.002
21,101,0.002
20,456,0.002
23,721,0.002
23,662,0.002
21,104,0.002
21,105,0.002
21,107,0.002
23,661,0.002
23,660,0.002
20,733,0.002
23,659,0.002
21,96,0.002
20,451,0.002
18,270,0.002
23,822,0.002
20,644,0.002
20,643,0.002
23,605,0.002
21,99,0.002
20,639,0.002
23,819,0.002
21,82,0.002
20,450,0.002
23,707,0.002
23,603,0.002
21,711,0.002
23,756,0.002
21,226,0.002
23,943,0.002
20,384,0.002
20,380,0.002
21,230,0.002
18,517,0.002
23,926,0.002
20,509,0.002
21,233,0.002
20,505,0.002
23,930,0.002
23,932,0.002
18,514,0.002
20,567,0.002
20,524,0.002
23,760,0.002
20,648,0.002
21,222,0.002
20,521,0.002
20,950,0.002
23,922,0.002
20,948,0.002
23,1019,0.002
20,280,0.002
20,281,0.002
20,514,0.002
20,534,0.002
23,1021,0.002
18,208,0.002
21,218,0.002
21,120,0.002
21,121,0.002
21,125,0.002
23,891,0.002
20,565,0.002
20,727,0.002
20,582,0.002
20,370,0.002
18,661,0.002
20,578,0.002
20,368,0.002
20,577,0.002
21,192,0.002
21,193,0.002
21,178,0.002
20,390,0.002
23,878,0.002
20,591,0.002
21,183,0.002
23,888,0.002
21,184,0.002
20,585,0.002
18,493,0.002
21,170,0.002
23,770,0.002
20,391,0.002
21,177,0.002
21,160,0.002
21,162,0.002
21,165,0.002
21,166,0.002
20,712,0.002
21,21,0.002
21,5,0.002
23,846,0.002
23,870,0.002
20,696,0.002
20,604,0.002
21,9,0.002
23,908,0.002
21,14,0.002
20,600,0.002
20,1012,0.002
18,565,0.002
20,1017,0.002
20,597,0.002
23,644,0.002
18,560,0.002
20,615,0.002
23,734,0.002
20,662,0.002
20,612,0.002
23,735,0.002
20,610,0.002
20,1020,0.002
23,915,0.002
20,607,0.002
23,904,0.002
20,1023,0.002
18,124,0.002
20,931,0.002
21,3,0.002
20,596,0.002
20,998,0.002
20,652,0.002
23,874,0.002
20,985,0.002
23,863,0.002
20,986,0.002
20,992,0.002
23,868,0.002
23,682,0.002
20,667,0.002
20,665,0.002
23,852,0.002
23,853,0.002
23,673,0.002
20,686,0.002
21,19,0.002
20,972,0.002
20,974,0.002
23,840,0.002
20,658,0.002
20,1016,0.002
20,680,0.002
23,731,0.002
20,709,0.002
21,25,0.002
23,841,0.002
21,27,0.002
21,30,0.002
23,842,0.002
23,843,0.002
21,18,0.002
23,857,0.002
20,956,0.002
23,717,0.002
23,702,0.002
20,394,0.002
23,701,0.002
18,119,0.002
20,397,0.002
20,435,0.002
20,728,0.002
23,810,0.002
23,697,0.002
21,67,0.002
21,48,0.002
21,50,0.002
20,930,0.002
20,432,0.002
21,54,0.002
20,441,0.002
21,57,0.002
23,637,0.002
20,431,0.002
23,719,0.002
21,38,0.002
20,430,0.002
23,634,0.002
18,121,0.002
21,44,0.002
23,648,0.002
20,627,0.002
21,110,0.002
23,641,0.002
18,131,0.002
20,487,0.002
20,486,0.002
20,485,0.002
20,484,0.002
20,500,0.002
20,499,0.002
21,59,0.002
21,61,0.002
20,739,0.002
21,63,0.002
20,742,0.002
20,334,0.002
20,925,0.002
20,945,0.002
23,716,0.002
20,339,0.002
20,428,0.002
18,400,0.002
23,728,0.002
23,729,0.002
23,714,0.002
20,937,0.002
20,323,0.002
18,430,0.002
20,327,0.002
20,330,0.002
20,407,0.002
23,695,0.002
20,421,0.002
20,420,0.002
23,811,0.002
20,840,0.002
23,967,0.002
23,762,0.002
23,965,0.002
23,964,0.002
23,962,0.002
23,990,0.002
20,230,0.002
18,622,0.002
23,994,0.002
18,618,0.002
23,938,0.002
23,995,0.002
20,837,0.002
23,947,0.002
21,282,0.002
23,946,0.002
20,315,0.002
20,316,0.002
23,945,0.002
23,751,0.002
23,549,0.002
20,291,0.002
23,548,0.002
20,296,0.002
23,834,0.002
20,300,0.002
21,348,0.002
20,821,0.002
21,333,0.002
21,334,0.002
20,308,0.002
21,283,0.002
21,284,0.002
21,285,0.002
23,996,0.002
20,918,0.002
20,825,0.002
20,826,0.002
21,287,0.002
18,732,0.002
21,349,0.002
18,604,0.002
23,917,0.002
20,829,0.002
18,54,0.002
23,830,0.002
20,257,0.002
23,827,0.002
20,913,0.002
18,165,0.002
23,1002,0.002
21,340,0.002
20,843,0.002
21,341,0.002
23,958,0.002
23,957,0.002
23,986,0.002
21,343,0.002
20,833,0.002
21,346,0.002
21,347,0.002
20,810,0.002
21,357,0.002
20,794,0.002
23,472,0.002
23,470,0.002
23,469,0.002
21,426,0.002
23,484,0.002
23,802,0.002
21,428,0.002
20,796,0.002
18,27,0.002
23,780,0.002
20,864,0.002
21,429,0.002
23,779,0.002
21,433,0.002
20,822,0.002
23,793,0.002
21,416,0.002
20,858,0.002
20,880,0.002
23,791,0.002
20,878,0.002
23,792,0.002
21,423,0.002
21,425,0.002
21,409,0.002
18,72,0.002
18,74,0.002
20,877,0.002
20,876,0.002
20,875,0.002
23,803,0.002
21,335,0.002
23,558,0.002
23,833,0.002
20,802,0.002
18,81,0.002
21,324,0.002
23,778,0.002
21,326,0.002
20,805,0.002
23,554,0.002
21,331,0.002
21,391,0.002
23,501,0.002
23,500,0.002
23,939,0.002
23,473,0.002
18,33,0.002
23,796,0.002
23,786,0.002
23,464,0.002
23,977,0.002
23,524,0.002
23,511,0.002
21,396,0.002
23,503,0.002
23,504,0.002
23,494,0.002
21,388,0.002
23,496,0.002
21,380,0.002
23,984,0.002
21,397,0.002
23,978,0.002
20,466,0.002
21,207,0.002
20,891,0.002
20,890,0.002
21,212,0.002
20,764,0.002
23,574,0.002
23,585,0.002
21,200,0.002
20,883,0.002
18,291,0.002
21,268,0.002
20,458,0.002
20,476,0.002
23,592,0.002
23,997,0.002
18,45,0.002
21,262,0.002
20,478,0.002
23,533,0.002
20,899,0.002
21,266,0.002
23,532,0.002
21,245,0.002
23,530,0.002
23,544,0.002
20,898,0.002
20,749,0.002
21,274,0.002
20,285,0.002
20,286,0.002
18,205,0.002
18,56,0.002
20,964,0.002
20,287,0.002
20,525,0.002
23,620,0.002
20,546,0.002
20,963,0.002
18,200,0.002
23,618,0.002
20,777,0.002
20,542,0.002
23,579,0.002
20,892,0.002
20,538,0.002
23,632,0.002
20,359,0.002
20,780,0.002
20,363,0.002
20,365,0.002
20,366,0.002
23,628,0.002
20,346,0.002
23,626,0.002
23,570,0.002
18,66,0.002
23,580,0.002
23,617,0.002
18,744,0.002
21,240,0.002
21,242,0.002
21,244,0.002
18,727,0.002
23,971,0.002
20,919,0.002
23,985,0.002
21,239,0.002
21,302,0.002
21,312,0.002
18,460,0.002
21,298,0.002
20,481,0.002
21,315,0.002
20,904,0.002
20,905,0.002
21,318,0.002
18,214,0.002
23,536,0.002
21,256,0.002
21,236,0.002
21,280,0.002
20,474,0.002
21,294,0.002
18,739,0.002
18,431,0.002
21,293,0.002
23,973,0.002
23,782,0.001
19,160,0.001
18,213,0.001
19,249,0.001
18,187,0.001
18,210,0.001
18,211,0.001
23,783,0.001
23,875,0.001
23,35,0.001
22,1021,0.001
18,347,0.001
19,169,0.001
22,966,0.001
18,219,0.001
18,188,0.001
19,165,0.001
18,254,0.001
19,174,0.001
23,32,0.001
19,161,0.001
19,263,0.001
23,34,0.001
18,340,0.001
19,171,0.001
19,163,0.001
23,804,0.001
18,345,0.001
18,224,0.001
22,1013,0.001
22,1005,0.001
18,223,0.001
19,259,0.001
18,331,0.001
18,324,0.001
22,1014,0.001
18,222,0.001
18,232,0.001
23,869,0.001
22,995,0.001
19,257,0.001
18,329,0.001
23,839,0.001
18,325,0.001
22,1007,0.001
23,838,0.001
23,836,0.001
18,326,0.001
19,258,0.001
19,179,0.001
19,253,0.001
18,221,0.001
23,826,0.001
18,356,0.001
23,1,0.001
23,815,0.001
19,156,0.001
23,774,0.001
19,168,0.001
18,374,0.001
19,261,0.001
18,231,0.001
19,159,0.001
18,338,0.001
23,776,0.001
23,2,0.001
18,364,0.001
23,3,0.001
23,825,0.001
19,260,0.001
19,158,0.001
18,47,0.001
19,288,0.001
19,286,0.001
19,284,0.001
19,316,0.001
18,49,0.001
22,849,0.001
18,50,0.001
22,848,0.001
18,51,0.001
18,0,0.001
19,213,0.001
22,846,0.001
23,969,0.001
23,972,0.001
22,855,0.001
22,853,0.001
22,852,0.001
22,796,0.001
22,792,0.001
23,1001,0.001
22,791,0.001
22,806,0.001
22,847,0.001
18,82,0.001
19,364,0.001
19,363,0.001
18,57,0.001
18,58,0.001
19,380,0.001
18,59,0.001
18,60,0.001
19,379,0.001
18,63,0.001
18,64,0.001
19,295,0.001
19,377,0.001
19,374,0.001
18,42,0.001
19,279,0.001
19,277,0.001
18,44,0.001
19,273,0.001
19,272,0.001
19,270,0.001
19,298,0.001
19,296,0.001
19,378,0.001
19,433,0.001
19,432,0.001
18,94,0.001
19,341,0.001
18,95,0.001
19,337,0.001
19,334,0.001
18,99,0.001
18,105,0.001
19,333,0.001
19,332,0.001
22,803,0.001
18,68,0.001
19,359,0.001
19,358,0.001
19,357,0.001
19,355,0.001
18,69,0.001
19,353,0.001
18,78,0.001
19,347,0.001
19,372,0.001
18,7,0.001
19,360,0.001
22,802,0.001
23,1006,0.001
23,987,0.001
22,799,0.001
22,814,0.001
23,989,0.001
22,808,0.001
22,765,0.001
22,772,0.001
18,84,0.001
22,768,0.001
18,93,0.001
19,429,0.001
19,428,0.001
19,423,0.001
19,421,0.001
18,85,0.001
18,90,0.001
19,415,0.001
19,411,0.001
19,441,0.001
19,440,0.001
19,439,0.001
22,767,0.001
18,134,0.001
18,140,0.001
22,898,0.001
18,143,0.001
18,108,0.001
18,110,0.001
18,112,0.001
22,896,0.001
18,115,0.001
18,116,0.001
22,908,0.001
18,36,0.001
18,120,0.001
19,315,0.001
19,311,0.001
19,305,0.001
19,301,0.001
18,265,0.001
19,327,0.001
19,325,0.001
19,324,0.001
19,321,0.001
19,320,0.001
22,904,0.001
23,876,0.001
23,860,0.001
23,861,0.001
22,972,0.001
22,969,0.001
23,855,0.001
22,981,0.001
22,979,0.001
22,977,0.001
22,989,0.001
23,849,0.001
18,133,0.001
23,910,0.001
23,911,0.001
22,940,0.001
22,938,0.001
22,952,0.001
18,164,0.001
22,946,0.001
22,959,0.001
18,125,0.001
18,132,0.001
22,955,0.001
23,850,0.001
23,894,0.001
22,867,0.001
23,895,0.001
23,879,0.001
23,887,0.001
18,156,0.001
18,160,0.001
22,869,0.001
22,868,0.001
22,884,0.001
22,877,0.001
19,318,0.001
22,887,0.001
23,929,0.001
22,831,0.001
18,152,0.001
22,825,0.001
22,841,0.001
22,840,0.001
23,918,0.001
22,834,0.001
19,371,0.001
19,368,0.001
22,892,0.001
18,272,0.001
18,275,0.001
18,276,0.001
19,221,0.001
19,220,0.001
18,237,0.001
19,217,0.001
19,215,0.001
18,242,0.001
18,243,0.001
19,231,0.001
22,920,0.001
19,228,0.001
18,246,0.001
22,917,0.001
22,915,0.001
22,914,0.001
18,248,0.001
22,926,0.001
22,924,0.001
18,253,0.001
22,923,0.001
23,892,0.001
19,229,0.001
18,998,0.001
18,994,0.001
18,991,0.001
18,990,0.001
18,983,0.001
18,829,0.001
18,821,0.001
18,545,0.001
18,817,0.001
18,815,0.001
18,814,0.001
18,813,0.001
19,138,0.001
18,508,0.001
18,812,0.001
18,853,0.001
18,509,0.001
18,511,0.001
18,847,0.001
18,844,0.001
18,515,0.001
18,842,0.001
18,840,0.001
18,880,0.001
18,516,0.001
23,341,0.001
18,502,0.001
23,591,0.001
23,593,0.001
23,377,0.001
23,594,0.001
23,595,0.001
23,597,0.001
23,576,0.001
23,374,0.001
23,373,0.001
23,577,0.001
23,372,0.001
23,385,0.001
23,567,0.001
18,972,0.001
23,630,0.001
23,633,0.001
23,321,0.001
23,616,0.001
23,317,0.001
23,332,0.001
23,331,0.001
23,344,0.001
18,981,0.001
18,979,0.001
18,976,0.001
23,621,0.001
18,973,0.001
23,379,0.001
19,30,0.001
18,639,0.001
19,28,0.001
18,641,0.001
19,27,0.001
19,24,0.001
18,643,0.001
18,649,0.001
19,50,0.001
19,49,0.001
19,44,0.001
18,651,0.001
18,473,0.001
19,42,0.001
23,606,0.001
23,607,0.001
19,41,0.001
19,40,0.001
18,941,0.001
18,933,0.001
18,929,0.001
23,598,0.001
23,602,0.001
18,928,0.001
18,921,0.001
18,912,0.001
19,43,0.001
23,335,0.001
23,353,0.001
18,480,0.001
23,352,0.001
18,483,0.001
18,484,0.001
23,345,0.001
18,489,0.001
18,498,0.001
23,296,0.001
23,294,0.001
18,499,0.001
18,658,0.001
18,634,0.001
23,306,0.001
18,660,0.001
23,314,0.001
23,313,0.001
18,662,0.001
23,311,0.001
18,665,0.001
23,309,0.001
18,667,0.001
23,256,0.001
23,248,0.001
18,671,0.001
18,631,0.001
18,659,0.001
23,517,0.001
23,498,0.001
23,490,0.001
23,488,0.001
23,425,0.001
23,423,0.001
23,437,0.001
23,435,0.001
23,555,0.001
23,557,0.001
23,448,0.001
23,560,0.001
23,535,0.001
23,547,0.001
23,550,0.001
23,457,0.001
23,551,0.001
23,552,0.001
23,453,0.001
18,652,0.001
23,452,0.001
18,605,0.001
23,392,0.001
18,614,0.001
23,389,0.001
18,620,0.001
23,546,0.001
18,811,0.001
18,786,0.001
18,808,0.001
18,787,0.001
18,807,0.001
18,803,0.001
18,802,0.001
18,790,0.001
18,799,0.001
18,791,0.001
18,792,0.001
18,693,0.001
18,692,0.001
23,518,0.001
18,691,0.001
18,688,0.001
18,687,0.001
18,683,0.001
18,675,0.001
18,713,0.001
18,712,0.001
18,708,0.001
18,704,0.001
18,702,0.001
23,474,0.001
18,698,0.001
18,729,0.001
18,795,0.001
18,750,0.001
18,749,0.001
18,735,0.001
18,777,0.001
18,746,0.001
18,747,0.001
18,776,0.001
18,748,0.001
18,714,0.001
18,772,0.001
18,717,0.001
18,770,0.001
18,625,0.001
18,766,0.001
18,724,0.001
18,798,0.001
18,728,0.001
23,406,0.001
23,405,0.001
23,404,0.001
23,416,0.001
23,415,0.001
23,537,0.001
23,355,0.001
23,368,0.001
23,367,0.001
18,718,0.001
18,626,0.001
18,630,0.001
18,576,0.001
18,580,0.001
18,584,0.001
18,587,0.001
18,879,0.001
18,871,0.001
18,865,0.001
18,863,0.001
18,862,0.001
18,588,0.001
18,861,0.001
18,754,0.001
18,904,0.001
18,894,0.001
18,593,0.001
18,889,0.001
18,888,0.001
18,884,0.001
18,597,0.001
18,883,0.001
18,882,0.001
18,763,0.001
18,762,0.001
18,760,0.001
18,758,0.001
18,860,0.001
19,54,0.001
19,51,0.001
19,77,0.001
19,76,0.001
19,71,0.001
19,69,0.001
19,66,0.001
23,769,0.001
19,88,0.001
23,92,0.001
23,90,0.001
23,758,0.001
18,906,0.001
23,102,0.001
18,307,0.001
18,310,0.001
18,312,0.001
18,315,0.001
23,98,0.001
18,319,0.001
18,320,0.001
18,323,0.001
23,38,0.001
23,37,0.001
23,53,0.001
23,52,0.001
18,298,0.001
23,134,0.001
23,722,0.001
23,723,0.001
23,142,0.001
23,724,0.001
23,725,0.001
23,138,0.001
23,726,0.001
23,727,0.001
23,83,0.001
23,718,0.001
19,139,0.001
23,705,0.001
23,768,0.001
19,135,0.001
19,134,0.001
19,133,0.001
19,152,0.001
19,150,0.001
19,147,0.001
19,146,0.001
19,144,0.001
19,142,0.001
19,65,0.001
23,765,0.001
23,767,0.001
19,63,0.001
19,136,0.001
19,210,0.001
19,208,0.001
19,206,0.001
23,748,0.001
19,201,0.001
19,116,0.001
23,753,0.001
19,113,0.001
23,754,0.001
19,110,0.001
23,738,0.001
19,108,0.001
23,51,0.001
19,107,0.001
23,746,0.001
19,105,0.001
23,797,0.001
23,799,0.001
19,129,0.001
19,126,0.001
19,125,0.001
19,123,0.001
19,122,0.001
23,788,0.001
19,140,0.001
23,25,0.001
23,743,0.001
18,279,0.001
18,284,0.001
18,285,0.001
18,290,0.001
23,68,0.001
18,292,0.001
18,296,0.001
18,297,0.001
18,439,0.001
18,440,0.001
18,442,0.001
23,8,0.001
18,462,0.001
19,212,0.001
18,410,0.001
23,19,0.001
23,17,0.001
18,416,0.001
18,417,0.001
19,196,0.001
19,189,0.001
18,420,0.001
19,188,0.001
18,421,0.001
18,422,0.001
19,182,0.001
18,426,0.001
18,467,0.001
23,240,0.001
23,689,0.001
23,690,0.001
23,185,0.001
18,397,0.001
18,398,0.001
23,178,0.001
23,175,0.001
18,401,0.001
18,403,0.001
18,405,0.001
18,406,0.001
23,733,0.001
18,409,0.001
18,377,0.001
18,381,0.001
18,383,0.001
18,386,0.001
18,388,0.001
23,195,0.001
18,390,0.001
23,208,0.001
23,207,0.001
18,391,0.001
23,204,0.001
18,395,0.001
23,191,0.001
18,958,0.001
18,956,0.001
18,954,0.001
18,951,0.001
18,949,0.001
18,945,0.001
18,944,0.001
18,943,0.001
18,982,0.001
23,663,0.001
23,266,0.001
23,651,0.001
23,279,0.001
23,688,0.001
23,278,0.001
23,647,0.001
23,649,0.001
23,219,0.001
23,635,0.001
23,636,0.001
23,225,0.001
23,223,0.001
23,237,0.001
23,698,0.001
23,700,0.001
23,231,0.001
23,247,0.001
23,657,0.001
18,534,0.001
19,8,0.001
18,536,0.001
18,544,0.001
19,7,0.001
19,5,0.001
23,677,0.001
23,679,0.001
19,2,0.001
19,38,0.001
23,164,0.001
23,162,0.001
23,146,0.001
23,159,0.001
23,170,0.001
23,669,0.001
23,670,0.001
23,115,0.001
23,114,0.001
23,112,0.001
23,671,0.001
23,672,0.001
23,125,0.001
23,121,0.001
23,120,0.001
23,119,0.001
23,161,0.001
23,156,0.001
18,546,0.001
23,151,0.001
18,559,0.001
19,85,0.001
19,82,0.001
19,81,0.001
19,80,0.001
19,79,0.001
19,78,0.001
19,101,0.001
19,97,0.001
19,95,0.001
19,13,0.001
19,93,0.001
19,91,0.001
18,566,0.001
19,1,0.001
18,568,0.001
18,570,0.001
18,1020,0.001
18,1015,0.001
18,574,0.001
18,521,0.001
18,523,0.001
18,527,0.001
18,528,0.001
19,94,0.001
21,211,0.001
21,214,0.001
21,198,0.001
21,199,0.001
21,201,0.001
21,202,0.001
21,204,0.001
21,272,0.001
18,79,0.001
21,276,0.001
21,277,0.001
21,264,0.001
21,267,0.001
21,246,0.001
21,247,0.001
21,250,0.001
21,252,0.001
21,275,0.001
21,221,0.001
21,223,0.001
20,302,0.001
20,283,0.001
20,288,0.001
20,271,0.001
20,272,0.001
20,274,0.001
21,206,0.001
20,277,0.001
20,358,0.001
20,362,0.001
20,345,0.001
20,348,0.001
20,349,0.001
20,350,0.001
21,205,0.001
20,275,0.001
20,240,0.001
20,242,0.001
20,226,0.001
20,227,0.001
20,229,0.001
20,231,0.001
20,232,0.001
20,233,0.001
21,237,0.001
20,304,0.001
20,307,0.001
20,310,0.001
20,318,0.001
20,319,0.001
20,290,0.001
20,292,0.001
20,298,0.001
20,234,0.001
21,310,0.001
21,311,0.001
21,313,0.001
21,319,0.001
21,300,0.001
21,303,0.001
21,306,0.001
21,308,0.001
20,237,0.001
21,292,0.001
21,295,0.001
21,288,0.001
21,352,0.001
21,356,0.001
21,359,0.001
21,342,0.001
20,236,0.001
21,290,0.001
20,401,0.001
20,403,0.001
21,52,0.001
21,58,0.001
21,34,0.001
21,36,0.001
21,39,0.001
21,41,0.001
21,219,0.001
21,109,0.001
21,111,0.001
21,115,0.001
21,116,0.001
21,100,0.001
21,102,0.001
21,103,0.001
21,91,0.001
21,108,0.001
21,62,0.001
21,64,0.001
21,65,0.001
20,335,0.001
20,336,0.001
20,337,0.001
20,340,0.001
20,341,0.001
20,400,0.001
20,322,0.001
20,325,0.001
20,408,0.001
20,409,0.001
20,410,0.001
20,412,0.001
20,419,0.001
20,396,0.001
20,321,0.001
21,187,0.001
21,189,0.001
21,191,0.001
21,179,0.001
21,180,0.001
21,181,0.001
21,185,0.001
21,169,0.001
21,94,0.001
21,167,0.001
21,168,0.001
21,227,0.001
21,228,0.001
21,231,0.001
21,232,0.001
21,234,0.001
21,215,0.001
21,175,0.001
21,95,0.001
21,97,0.001
21,83,0.001
21,84,0.001
21,85,0.001
21,87,0.001
21,89,0.001
21,146,0.001
21,186,0.001
21,151,0.001
21,154,0.001
21,137,0.001
21,140,0.001
21,130,0.001
21,134,0.001
21,119,0.001
21,126,0.001
21,149,0.001
21,584,0.001
21,588,0.001
21,575,0.001
21,578,0.001
20,171,0.001
20,154,0.001
20,155,0.001
20,157,0.001
20,299,0.001
20,146,0.001
20,147,0.001
20,151,0.001
20,152,0.001
20,211,0.001
20,212,0.001
20,218,0.001
20,204,0.001
20,145,0.001
21,483,0.001
21,485,0.001
21,486,0.001
21,472,0.001
21,537,0.001
21,538,0.001
21,543,0.001
21,531,0.001
21,583,0.001
21,535,0.001
21,536,0.001
21,518,0.001
21,520,0.001
21,521,0.001
21,522,0.001
21,525,0.001
21,510,0.001
21,534,0.001
21,655,0.001
21,656,0.001
21,661,0.001
21,662,0.001
21,646,0.001
21,649,0.001
21,650,0.001
21,651,0.001
20,205,0.001
21,640,0.001
21,642,0.001
21,643,0.001
21,710,0.001
21,701,0.001
21,683,0.001
21,685,0.001
21,691,0.001
21,637,0.001
20,206,0.001
20,207,0.001
21,566,0.001
21,549,0.001
21,554,0.001
21,624,0.001
21,629,0.001
21,634,0.001
21,653,0.001
21,620,0.001
21,604,0.001
21,596,0.001
21,598,0.001
21,599,0.001
21,663,0.001
21,664,0.001
21,670,0.001
21,619,0.001
21,362,0.001
21,366,0.001
21,368,0.001
21,369,0.001
21,427,0.001
21,430,0.001
21,417,0.001
21,419,0.001
21,482,0.001
21,412,0.001
21,413,0.001
21,414,0.001
21,415,0.001
21,400,0.001
21,402,0.001
21,403,0.001
21,462,0.001
21,420,0.001
21,332,0.001
21,336,0.001
21,337,0.001
21,321,0.001
21,329,0.001
21,393,0.001
21,394,0.001
21,382,0.001
21,361,0.001
21,389,0.001
21,371,0.001
21,372,0.001
21,373,0.001
21,374,0.001
21,375,0.001
21,376,0.001
21,377,0.001
21,384,0.001
20,251,0.001
21,461,0.001
21,444,0.001
21,450,0.001
21,452,0.001
21,434,0.001
21,437,0.001
21,438,0.001
21,466,0.001
21,500,0.001
21,501,0.001
21,491,0.001
21,492,0.001
21,493,0.001
21,495,0.001
21,496,0.001
21,481,0.001
21,442,0.001
21,468,0.001
21,455,0.001
21,456,0.001
20,210,0.001
20,197,0.001
20,198,0.001
20,199,0.001
20,201,0.001
20,244,0.001
20,185,0.001
20,187,0.001
20,188,0.001
20,258,0.001
20,262,0.001
20,263,0.001
20,266,0.001
20,267,0.001
20,202,0.001
20,438,0.001
20,423,0.001
20,424,0.001
20,425,0.001
20,429,0.001
20,492,0.001
20,493,0.001
20,495,0.001
21,81,0.001
20,488,0.001
20,489,0.001
20,490,0.001
