layer,neuron,drop_frac
23,562,0.004
23,519,0.004
23,522,0.004
23,505,0.004
23,77,0.004
22,300,0.004
23,21,0.004
22,198,0.004
22,200,0.004
22,313,0.004
22,189,0.004
19,744,0.004
23,563,0.004
23,564,0.004
22,994,0.004
23,136,0.004
23,141,0.004
23,71,0.004
23,75,0.004
23,76,0.004
23,79,0.004
22,276,0.004
22,277,0.004
23,575,0.004
23,589,0.004
21,614,0.004
21,615,0.004
21,622,0.004
22,971,0.004
22,287,0.004
22,291,0.004
22,332,0.004
22,374,0.004
22,376,0.004
22,378,0.004
23,85,0.004
22,992,0.004
22,933,0.004
22,935,0.004
23,59,0.004
22,396,0.004
22,383,0.004
22,387,0.004
22,967,0.004
21,586,0.004
21,587,0.004
23,696,0.004
23,678,0.004
23,704,0.004
23,691,0.004
23,703,0.004
22,978,0.004
22,370,0.004
22,316,0.004
22,398,0.004
23,66,0.004
23,5,0.004
22,336,0.004
22,854,0.004
22,856,0.004
22,921,0.004
22,866,0.004
22,460,0.004
22,462,0.004
22,464,0.004
22,347,0.004
22,380,0.004
22,352,0.004
23,801,0.004
21,355,0.004
21,257,0.004
21,502,0.004
21,436,0.004
21,441,0.004
19,238,0.004
22,912,0.004
21,563,0.004
21,564,0.004
23,571,0.004
21,458,0.004
21,421,0.004
21,370,0.004
21,378,0.004
21,463,0.004
23,642,0.004
21,339,0.004
21,323,0.004
21,338,0.004
20,235,0.004
21,360,0.004
23,832,0.004
21,172,0.004
23,741,0.004
23,744,0.004
23,745,0.004
23,747,0.004
23,643,0.004
23,650,0.004
23,655,0.004
23,600,0.004
22,417,0.004
22,428,0.004
22,432,0.004
22,870,0.004
22,1004,0.004
22,1010,0.004
22,1020,0.004
22,976,0.004
22,842,0.004
22,529,0.004
22,536,0.004
22,477,0.004
22,479,0.004
22,409,0.004
22,410,0.004
22,431,0.004
22,705,0.004
23,851,0.004
23,854,0.004
23,920,0.004
22,638,0.004
22,627,0.004
22,586,0.004
22,522,0.004
23,866,0.004
23,813,0.004
20,580,0.004
20,507,0.004
20,763,0.004
22,755,0.004
22,695,0.004
22,696,0.004
20,951,0.004
20,865,0.004
20,720,0.004
23,921,0.004
23,923,0.004
23,925,0.004
23,883,0.004
23,864,0.004
21,23,0.004
21,22,0.004
20,976,0.004
20,984,0.004
20,997,0.004
23,789,0.004
23,795,0.004
20,445,0.004
22,61,0.004
20,31,0.004
22,17,0.004
22,51,0.004
22,7,0.004
21,966,0.004
21,984,0.004
21,912,0.004
23,1008,0.004
23,905,0.004
23,1011,0.004
23,899,0.004
23,955,0.004
23,300,0.004
23,308,0.004
23,361,0.004
23,1015,0.004
23,898,0.004
23,916,0.004
23,1020,0.004
23,893,0.004
23,919,0.004
23,992,0.004
23,880,0.004
22,666,0.004
23,773,0.004
23,794,0.004
23,818,0.004
23,983,0.004
20,483,0.004
21,93,0.004
21,106,0.004
23,890,0.003
18,161,0.003
23,953,0.003
23,963,0.003
23,966,0.003
23,951,0.003
23,934,0.003
23,935,0.003
23,940,0.003
20,781,0.003
20,784,0.003
20,715,0.003
20,717,0.003
20,746,0.003
20,738,0.003
20,740,0.003
20,803,0.003
20,759,0.003
20,753,0.003
20,757,0.003
20,762,0.003
20,792,0.003
20,970,0.003
20,436,0.003
20,570,0.003
20,592,0.003
20,529,0.003
20,741,0.003
20,670,0.003
23,790,0.003
23,800,0.003
23,835,0.003
23,772,0.003
23,775,0.003
20,332,0.003
20,411,0.003
20,413,0.003
20,1008,0.003
20,939,0.003
20,440,0.003
20,383,0.003
20,388,0.003
23,784,0.003
23,785,0.003
23,787,0.003
21,79,0.003
21,13,0.003
21,20,0.003
21,28,0.003
20,398,0.003
20,894,0.003
20,897,0.003
20,801,0.003
21,208,0.003
21,213,0.003
21,31,0.003
20,973,0.003
20,981,0.003
20,1000,0.003
21,74,0.003
21,78,0.003
22,671,0.003
22,674,0.003
22,531,0.003
22,515,0.003
22,518,0.003
22,519,0.003
22,540,0.003
19,514,0.003
19,388,0.003
22,661,0.003
22,707,0.003
22,683,0.003
22,687,0.003
22,630,0.003
22,668,0.003
19,553,0.003
19,422,0.003
19,437,0.003
22,812,0.003
22,817,0.003
22,822,0.003
22,718,0.003
22,721,0.003
22,657,0.003
22,628,0.003
22,631,0.003
22,636,0.003
22,682,0.003
22,760,0.003
22,761,0.003
22,763,0.003
22,766,0.003
22,787,0.003
22,759,0.003
22,550,0.003
22,552,0.003
22,553,0.003
22,561,0.003
22,562,0.003
22,601,0.003
22,727,0.003
22,731,0.003
22,736,0.003
22,790,0.003
22,776,0.003
22,778,0.003
22,779,0.003
22,784,0.003
22,880,0.003
22,882,0.003
22,888,0.003
22,890,0.003
22,891,0.003
22,740,0.003
22,724,0.003
22,726,0.003
22,568,0.003
22,569,0.003
22,523,0.003
22,578,0.003
22,824,0.003
22,829,0.003
22,832,0.003
22,837,0.003
19,276,0.003
22,798,0.003
22,851,0.003
22,541,0.003
